,ga:date,ga:pagePath,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20171001,/,17,21,117.0,1.105263157894737,94.73684210526315
1,20171002,/,18,20,839.0,1.0526315789473684,94.73684210526315
2,20171003,/,22,27,1366.0,1.125,91.66666666666666
3,20171004,/,16,22,792.0,1.2222222222222223,83.33333333333334
4,20171005,/,18,24,17.0,1.0909090909090908,90.9090909090909
5,20171006,/,11,11,0.0,1.0,100.0
6,20171007,/,5,8,72.0,1.1428571428571428,85.71428571428571
7,20171008,/,8,9,0.0,1.0,100.0
8,20171009,/,20,22,142.0,1.0476190476190477,95.23809523809523
9,20171010,/,17,19,16.0,1.0555555555555556,94.44444444444444
10,20171011,/,14,15,0.0,1.0,100.0
11,20171011,/translate_c?depth=1&hl=es&prev=search&rurl=translate.google.com.co&sl=en&sp=nmt4&u=https://spack.io/&usg=ALkJrhhG9g-_h3M5sSLxXOifoyWHkL_k_A,1,1,0.0,1.0,100.0
12,20171012,/,8,9,0.0,1.0,100.0
13,20171013,/,14,18,1123.0,1.2857142857142858,71.42857142857143
14,20171014,/,7,8,0.0,1.0,100.0
15,20171015,/,11,13,3.0,1.0833333333333333,91.66666666666666
16,20171016,/,21,26,1292.0,1.2380952380952381,85.71428571428571
17,20171017,/,21,24,16.0,1.0434782608695652,95.65217391304348
18,20171018,/,23,30,1746.0,1.1111111111111112,92.5925925925926
19,20171019,/,21,24,0.0,1.0,100.0
20,20171020,/,14,16,73.0,1.1428571428571428,85.71428571428571
21,20171021,/,15,18,272.0,1.125,87.5
22,20171022,/,18,19,150.0,1.0555555555555556,94.44444444444444
23,20171023,/,19,19,0.0,1.0,100.0
24,20171024,/,16,46,2379.0,2.5555555555555554,72.22222222222221
25,20171025,/,18,23,713.0,1.2105263157894737,84.21052631578947
26,20171026,/,30,35,278.0,1.1290322580645162,87.09677419354838
27,20171027,/,24,31,275.0,1.1923076923076923,84.61538461538461
28,20171028,/,10,11,0.0,1.0,100.0
29,20171029,/,3,3,0.0,1.0,100.0
30,20171030,/,17,18,32.0,1.0588235294117647,94.11764705882352
31,20171031,/,21,23,8.0,1.0454545454545454,95.45454545454545
