,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20200101,AU,Brisbane,1,1,1,0.0,1.0,100.0
1,20200101,CA,Ottawa,1,3,1,1.0,3.0,0.0
2,20200101,CZ,Prague,1,2,1,5.0,2.0,0.0
3,20200101,DE,Frankfurt,1,8,1,2637.0,8.0,0.0
4,20200101,DE,Kaiserslautern,1,3,1,36.0,3.0,0.0
5,20200101,GB,(not set),1,1,1,0.0,1.0,100.0
6,20200101,IL,Herzliya,1,1,1,0.0,1.0,100.0
7,20200101,IN,Bengaluru,2,3,3,0.0,1.0,100.0
8,20200101,IN,Gandhinagar,1,1,1,0.0,1.0,100.0
9,20200101,IR,(not set),1,1,1,0.0,1.0,100.0
10,20200101,US,Austin,1,2,1,33.0,2.0,0.0
11,20200101,US,Chicago,3,3,3,0.0,1.0,100.0
12,20200101,US,Dallas,1,1,1,0.0,1.0,100.0
13,20200101,US,New Haven,1,3,1,1064.0,3.0,0.0
14,20200102,AE,Dubai,1,1,1,0.0,1.0,100.0
15,20200102,AU,Melbourne,2,3,2,91.0,1.5,50.0
16,20200102,BE,Ghent,1,2,1,4.0,2.0,0.0
17,20200102,BR,Sao Paulo,1,2,1,69.0,2.0,0.0
18,20200102,CA,Ottawa,1,7,3,1.0,2.3333333333333335,33.33333333333333
19,20200102,CL,Santiago,1,1,1,0.0,1.0,100.0
20,20200102,CN,Guangzhou,1,4,2,139.0,2.0,50.0
21,20200102,CN,Zhengzhou,3,3,3,0.0,1.0,100.0
22,20200102,DE,Budingen,1,1,1,0.0,1.0,100.0
23,20200102,DE,Cologne,1,1,1,0.0,1.0,100.0
24,20200102,DE,Magdeburg,1,12,2,4047.0,6.0,50.0
25,20200102,DE,Oberhaching,1,1,1,0.0,1.0,100.0
26,20200102,DZ,Batna,1,1,1,0.0,1.0,100.0
27,20200102,ES,Mataro,1,1,1,0.0,1.0,100.0
28,20200102,ES,Santiago de Compostela,1,1,1,0.0,1.0,100.0
29,20200102,FR,Paris,1,1,1,0.0,1.0,100.0
30,20200102,GB,Coventry,1,3,1,40.0,3.0,0.0
31,20200102,HK,(not set),1,1,1,0.0,1.0,100.0
32,20200102,HU,Budapest,1,1,1,0.0,1.0,100.0
33,20200102,IE,Dublin,1,1,1,0.0,1.0,100.0
34,20200102,IL,Eilat,1,2,1,322.0,2.0,0.0
35,20200102,IL,Jerusalem,1,1,1,0.0,1.0,100.0
