,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20220701,AR,Buenos Aires,1,1,1,0.0,1.0,100.0
1,20220701,AR,Cordoba,1,2,1,240.0,2.0,0.0
2,20220701,AR,Mendoza,3,10,3,2020.0,3.3333333333333335,33.33333333333333
3,20220701,AT,Vienna,2,3,2,16.0,1.5,50.0
4,20220701,AU,Sydney,1,2,1,24.0,2.0,0.0
5,20220701,BE,(not set),2,5,2,99.0,2.5,0.0
6,20220701,BG,Plovdiv,1,1,1,0.0,1.0,100.0
7,20220701,BR,Brasilia,1,1,1,0.0,1.0,100.0
8,20220701,BR,Itaberaba,1,1,1,0.0,1.0,100.0
9,20220701,BR,Itajai,1,1,1,0.0,1.0,100.0
10,20220701,BR,Natal,1,1,1,0.0,1.0,100.0
11,20220701,BR,Rio de Janeiro,1,2,1,1209.0,2.0,0.0
12,20220701,BR,Sao Paulo,3,7,4,262.0,1.75,50.0
13,20220701,CH,(not set),2,4,2,292.0,2.0,50.0
14,20220701,CH,Zurich,1,3,2,457.0,1.5,50.0
15,20220701,CL,Santiago,1,1,1,0.0,1.0,100.0
16,20220701,CN,(not set),11,29,15,3944.0,1.9333333333333333,60.0
17,20220701,CO,Bogota,1,1,1,0.0,1.0,100.0
18,20220701,DE,Berlin,1,1,1,0.0,1.0,100.0
19,20220701,DE,Cologne,3,12,4,376.0,3.0,75.0
20,20220701,DE,Eggenstein-Leopoldshafen,1,1,1,0.0,1.0,100.0
21,20220701,DE,Erlangen,1,2,1,8.0,2.0,0.0
22,20220701,DE,Frankfurt,2,3,2,246.0,1.5,50.0
23,20220701,DE,Freiberg,1,5,4,13.0,1.25,75.0
24,20220701,DE,Hamburg,1,1,1,0.0,1.0,100.0
25,20220701,DE,Laatzen,1,1,1,0.0,1.0,100.0
26,20220701,DE,Ludwigshafen,1,6,4,8.0,1.5,50.0
27,20220701,DE,Munich,4,6,5,1768.0,1.2,80.0
28,20220701,DK,Skanderborg,1,1,1,0.0,1.0,100.0
29,20220701,ES,Barcelona,1,1,1,0.0,1.0,100.0
30,20220701,FR,Massy,1,12,3,177.0,4.0,33.33333333333333
31,20220701,FR,Montpellier,2,5,3,25.0,1.6666666666666667,66.66666666666666
32,20220701,FR,Mougins,1,6,1,44.0,6.0,0.0
33,20220701,FR,Paris,3,5,3,112.0,1.6666666666666667,66.66666666666666
34,20220701,FR,Saclay,1,4,2,20.0,2.0,50.0
35,20220701,FR,Saint-Louis,1,1,1,0.0,1.0,100.0
36,20220701,GB,(not set),1,1,1,0.0,1.0,100.0
37,20220701,GB,Cardiff,1,1,1,0.0,1.0,100.0
38,20220701,GB,Cookstown,1,1,1,0.0,1.0,100.0
39,20220701,GB,Edinburgh,2,2,2,0.0,1.0,100.0
40,20220701,GB,Exeter,1,8,2,2874.0,4.0,0.0
41,20220701,GB,Glasgow,2,8,3,187.0,2.6666666666666665,33.33333333333333
