,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20200901,AT,2,4,2,216.0,2.0,50.0
1,20200901,AU,1,1,1,0.0,1.0,100.0
2,20200901,BR,2,2,2,0.0,1.0,100.0
3,20200901,CH,3,9,7,774.0,1.2857142857142858,71.42857142857143
4,20200901,CN,10,19,13,383.0,1.4615384615384615,69.23076923076923
5,20200901,CU,1,1,1,0.0,1.0,100.0
6,20200901,DE,15,80,25,14502.0,3.2,32.0
7,20200901,DK,1,2,1,11.0,2.0,0.0
8,20200901,DZ,1,1,1,0.0,1.0,100.0
9,20200901,EG,1,1,1,0.0,1.0,100.0
10,20200901,FI,2,17,7,2202.0,2.4285714285714284,28.57142857142857
11,20200901,FR,3,8,4,50.0,2.0,50.0
12,20200901,GB,12,45,15,6612.0,3.0,53.333333333333336
13,20200901,GH,1,1,1,0.0,1.0,100.0
14,20200901,GR,1,1,1,0.0,1.0,100.0
15,20200901,IN,19,32,22,1997.0,1.4545454545454546,86.36363636363636
16,20200901,IR,1,1,1,0.0,1.0,100.0
17,20200901,IT,1,1,1,0.0,1.0,100.0
18,20200901,JP,13,39,14,2604.0,2.7857142857142856,64.28571428571429
19,20200901,KR,1,1,1,0.0,1.0,100.0
20,20200901,NL,1,1,1,0.0,1.0,100.0
21,20200901,NO,3,5,3,1452.0,1.6666666666666667,66.66666666666666
22,20200901,PE,1,1,1,0.0,1.0,100.0
23,20200901,RU,1,2,1,10.0,2.0,0.0
24,20200901,SE,1,1,1,0.0,1.0,100.0
25,20200901,SG,1,1,1,0.0,1.0,100.0
26,20200901,TZ,2,3,2,363.0,1.5,50.0
27,20200901,US,82,279,110,36682.0,2.536363636363636,49.09090909090909
28,20200902,AT,1,1,1,0.0,1.0,100.0
29,20200902,AU,4,9,4,288.0,2.25,50.0
30,20200902,BR,1,1,1,0.0,1.0,100.0
31,20200902,CA,1,1,1,0.0,1.0,100.0
32,20200902,CH,7,18,9,2107.0,2.0,66.66666666666666
33,20200902,CN,7,25,13,1217.0,1.9230769230769231,38.46153846153847
34,20200902,CY,1,1,1,0.0,1.0,100.0
35,20200902,CZ,1,3,1,274.0,3.0,0.0
36,20200902,DE,15,53,29,2856.0,1.8275862068965518,55.172413793103445
37,20200902,EG,1,1,1,0.0,1.0,100.0
38,20200902,ES,1,2,2,0.0,1.0,100.0
39,20200902,FI,1,16,6,3321.0,2.6666666666666665,33.33333333333333
40,20200902,FR,6,14,6,1376.0,2.3333333333333335,50.0
41,20200902,GB,9,34,13,5393.0,2.6153846153846154,38.46153846153847
42,20200902,HK,2,18,3,3355.0,6.0,0.0
43,20200902,IN,13,30,17,2132.0,1.7647058823529411,70.58823529411765
44,20200902,IT,6,12,7,253.0,1.7142857142857142,57.14285714285714
45,20200902,JP,13,39,20,2526.0,1.95,70.0
46,20200902,KR,2,2,2,0.0,1.0,100.0
47,20200902,LU,1,13,1,2967.0,13.0,0.0
48,20200902,MX,2,2,2,0.0,1.0,100.0
49,20200902,MY,1,3,2,23.0,1.5,50.0
50,20200902,NO,2,2,2,0.0,1.0,100.0
51,20200902,RU,2,2,2,0.0,1.0,100.0
52,20200902,TW,1,1,1,0.0,1.0,100.0
53,20200902,UA,1,1,1,0.0,1.0,100.0
54,20200902,US,88,351,135,38266.0,2.6,48.148148148148145
55,20200903,AE,1,10,2,801.0,5.0,0.0
56,20200903,AT,1,1,1,0.0,1.0,100.0
57,20200903,AU,3,4,3,7.0,1.3333333333333333,66.66666666666666
58,20200903,BD,1,1,1,0.0,1.0,100.0
59,20200903,BE,2,8,6,248.0,1.3333333333333333,66.66666666666666
60,20200903,BR,3,3,3,0.0,1.0,100.0
61,20200903,CH,5,27,11,5782.0,2.4545454545454546,9.090909090909092
62,20200903,CM,1,1,1,0.0,1.0,100.0
63,20200903,CN,5,5,5,0.0,1.0,100.0
64,20200903,CR,1,1,1,0.0,1.0,100.0
65,20200903,DE,12,18,14,1529.0,1.2857142857142858,85.71428571428571
66,20200903,ES,2,2,2,0.0,1.0,100.0
67,20200903,FR,4,7,4,970.0,1.75,75.0
68,20200903,GB,10,32,12,5808.0,2.6666666666666665,41.66666666666667
69,20200903,HK,2,50,4,6534.0,12.5,25.0
