,ga:date,ga:countryIsoCode,ga:city,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20200501,AU,Sydney,1,1,1,0.0,1.0,100.0
1,20200501,BR,Belo Horizonte,1,5,3,195.0,1.6666666666666667,33.33333333333333
2,20200501,BR,Patos de Minas,1,1,1,0.0,1.0,100.0
3,20200501,CA,London,1,1,1,0.0,1.0,100.0
4,20200501,DE,Amberg,1,1,1,0.0,1.0,100.0
5,20200501,FR,Massy,1,1,1,0.0,1.0,100.0
6,20200501,GB,(not set),2,6,3,297.0,2.0,66.66666666666666
7,20200501,GB,Bristol,1,6,1,938.0,6.0,0.0
8,20200501,GB,Colchester,1,1,1,0.0,1.0,100.0
9,20200501,GB,Kingston upon Hull,1,1,1,0.0,1.0,100.0
10,20200501,GB,Manchester,1,3,1,899.0,3.0,0.0
11,20200501,GB,Washington,1,3,1,30.0,3.0,0.0
12,20200501,GR,Athens,1,5,3,11.0,1.6666666666666667,66.66666666666666
13,20200501,IN,Hyderabad,1,1,1,0.0,1.0,100.0
14,20200501,IQ,(not set),3,3,3,0.0,1.0,100.0
15,20200501,IQ,Baghdad,1,2,2,0.0,1.0,100.0
16,20200501,JP,Fukuoka,2,25,3,380.0,8.333333333333334,66.66666666666666
17,20200501,JP,Toyonaka,1,4,2,18.0,2.0,50.0
18,20200501,TZ,Dar es Salaam,1,1,1,0.0,1.0,100.0
19,20200501,US,Albuquerque,2,2,2,0.0,1.0,100.0
20,20200501,US,Ashburn,2,2,2,0.0,1.0,100.0
21,20200501,US,Atascocita,1,1,1,0.0,1.0,100.0
22,20200501,US,Baton Rouge,1,1,1,0.0,1.0,100.0
23,20200501,US,Bel Air South,1,1,1,0.0,1.0,100.0
24,20200501,US,Boardman,1,1,1,0.0,1.0,100.0
25,20200501,US,Cicero,1,1,1,0.0,1.0,100.0
26,20200501,US,Coffeyville,2,2,2,0.0,1.0,100.0
27,20200501,US,Columbia,1,1,1,0.0,1.0,100.0
28,20200501,US,Huntsville,1,5,1,154.0,5.0,0.0
29,20200501,US,Idaho Falls,1,1,1,0.0,1.0,100.0
30,20200501,US,Livermore,1,2,1,6.0,2.0,0.0
31,20200501,US,Martinez,1,6,3,45.0,2.0,33.33333333333333
32,20200501,US,Milwaukie,1,1,1,0.0,1.0,100.0
33,20200501,US,Monroeville,1,4,3,16.0,1.3333333333333333,66.66666666666666
34,20200501,US,Oak Ridge,2,4,3,25.0,1.3333333333333333,66.66666666666666
35,20200501,US,San Carlos,1,2,1,18.0,2.0,0.0
36,20200501,US,San Diego,3,3,3,0.0,1.0,100.0
37,20200501,US,San Jose,2,4,2,201.0,2.0,50.0
38,20200501,US,Starkville,1,2,1,1488.0,2.0,0.0
39,20200501,US,State College,2,2,2,0.0,1.0,100.0
40,20200502,AL,(not set),1,1,1,0.0,1.0,100.0
41,20200502,BR,Guarapuava,1,1,1,0.0,1.0,100.0
42,20200502,CA,Waterloo,1,3,1,14.0,3.0,0.0
43,20200502,CH,Zurich,1,3,1,10.0,3.0,0.0
44,20200502,CN,Beijing,1,1,1,0.0,1.0,100.0
45,20200502,DE,Herne,1,2,1,7.0,2.0,0.0
46,20200502,FR,Massy,1,5,2,88.0,2.5,0.0
47,20200502,GB,(not set),1,1,1,0.0,1.0,100.0
48,20200502,GB,Durham,1,1,1,0.0,1.0,100.0
49,20200502,GB,Sheffield,1,2,2,0.0,1.0,100.0
50,20200502,GR,Athens,1,3,3,0.0,1.0,100.0
51,20200502,IN,(not set),1,1,1,0.0,1.0,100.0
52,20200502,IQ,(not set),1,2,2,0.0,1.0,100.0
53,20200502,JP,Fukuoka,1,5,3,94.0,1.6666666666666667,66.66666666666666
54,20200502,JP,Shibuya City,1,7,2,511.0,3.5,50.0
55,20200502,US,College Station,1,1,1,0.0,1.0,100.0
56,20200502,US,Columbus,1,1,1,0.0,1.0,100.0
57,20200502,US,San Carlos,1,1,1,0.0,1.0,100.0
58,20200503,BD,(not set),1,1,1,0.0,1.0,100.0
59,20200503,BR,Natal,1,1,1,0.0,1.0,100.0
60,20200503,DE,Frankfurt,1,1,1,0.0,1.0,100.0
61,20200503,DE,Norderstedt,1,1,1,0.0,1.0,100.0
62,20200503,FI,Helsinki,1,1,1,0.0,1.0,100.0
63,20200503,FR,Paris,1,2,1,196.0,2.0,0.0
64,20200503,GB,(not set),2,15,5,2720.0,3.0,0.0
65,20200503,GB,Cambridge,1,1,1,0.0,1.0,100.0
66,20200503,IN,Hyderabad,1,1,1,0.0,1.0,100.0
67,20200503,JP,Fukuoka,3,6,6,0.0,1.0,100.0
68,20200503,JP,Shibuya City,1,1,1,0.0,1.0,100.0
69,20200503,MA,Casablanca,1,1,1,0.0,1.0,100.0
70,20200503,RO,Iasi,1,1,1,0.0,1.0,100.0
71,20200503,RU,Vyksa,1,2,1,9.0,2.0,0.0
72,20200503,US,Newark,1,1,1,0.0,1.0,100.0
73,20200503,US,Oakland,1,9,1,2154.0,9.0,0.0
74,20200503,US,Richmond,1,1,1,0.0,1.0,100.0
75,20200503,US,Winston-Salem,1,15,2,3130.0,7.5,50.0
76,20200504,AU,Sydney,1,1,1,0.0,1.0,100.0
77,20200504,CA,Toronto,1,1,1,0.0,1.0,100.0
78,20200504,CN,Foshan,1,2,1,31.0,2.0,0.0
79,20200504,DE,Hamburg,1,2,1,0.0,2.0,0.0
80,20200504,DE,Hanover,1,1,1,0.0,1.0,100.0
81,20200504,ES,Barcelona,1,3,1,25.0,3.0,0.0
82,20200504,FI,Oulu,1,1,1,0.0,1.0,100.0
83,20200504,FR,Boulogne-Billancourt,1,4,3,9.0,1.3333333333333333,66.66666666666666
84,20200504,FR,Paris,1,1,1,0.0,1.0,100.0
85,20200504,GB,Berkhamsted,1,4,2,29.0,2.0,0.0
86,20200504,GB,Durham,1,1,1,0.0,1.0,100.0
87,20200504,GB,Edinburgh,1,1,1,0.0,1.0,100.0
88,20200504,GB,Glasgow,1,1,1,0.0,1.0,100.0
89,20200504,GB,Kingston upon Hull,1,1,1,0.0,1.0,100.0
90,20200504,GB,London,1,4,1,164.0,4.0,0.0
91,20200504,GB,Oxford,1,3,1,18.0,3.0,0.0
92,20200504,IN,Coimbatore,1,1,1,0.0,1.0,100.0
93,20200504,IT,(not set),1,1,1,0.0,1.0,100.0
94,20200504,IT,Milan,1,6,1,1712.0,6.0,0.0
95,20200504,JP,Fukuoka,1,1,1,0.0,1.0,100.0
96,20200504,JP,Saitama,1,2,1,9.0,2.0,0.0
97,20200504,NL,Barendrecht,1,1,1,0.0,1.0,100.0
98,20200504,SG,Singapore,1,1,1,0.0,1.0,100.0
99,20200504,US,Ashburn,1,5,3,2179.0,1.6666666666666667,66.66666666666666
100,20200504,US,Atlanta,1,1,1,0.0,1.0,100.0
101,20200504,US,Berkeley,1,2,2,0.0,1.0,100.0
102,20200504,US,Chandler,3,8,5,279.0,1.6,60.0
103,20200504,US,Chicago,1,1,1,0.0,1.0,100.0
104,20200504,US,Clemson,1,1,1,0.0,1.0,100.0
105,20200504,US,Easley,1,3,1,197.0,3.0,0.0
106,20200504,US,Glendora,1,2,1,18.0,2.0,0.0
107,20200504,US,Livermore,2,5,3,136.0,1.6666666666666667,33.33333333333333
108,20200504,US,Los Angeles,1,1,1,0.0,1.0,100.0
109,20200504,US,Lubbock,1,1,1,0.0,1.0,100.0
110,20200504,US,Oak Ridge,1,1,1,0.0,1.0,100.0
111,20200504,US,Richmond,1,1,1,0.0,1.0,100.0
112,20200504,US,Roxborough Park,1,7,1,1007.0,7.0,0.0
113,20200504,US,San Jose,1,1,1,0.0,1.0,100.0
114,20200504,US,Santa Fe,2,13,2,3864.0,6.5,50.0
115,20200504,US,Winston-Salem,1,7,4,7.0,1.75,25.0
116,20200505,AU,Sydney,1,2,2,0.0,1.0,100.0
117,20200505,BE,Etterbeek,1,1,1,0.0,1.0,100.0
118,20200505,CH,Renens,1,2,1,585.0,2.0,0.0
119,20200505,CN,Beijing,2,2,2,0.0,1.0,100.0
120,20200505,CN,Chengdu,1,1,1,0.0,1.0,100.0
121,20200505,CN,Wuxi,1,1,1,0.0,1.0,100.0
122,20200505,CZ,Prague,1,1,1,0.0,1.0,100.0
123,20200505,DE,Dresden,1,10,2,1314.0,5.0,0.0
124,20200505,DE,Essen,1,2,1,16.0,2.0,0.0
125,20200505,DE,Hamburg,1,1,1,0.0,1.0,100.0
126,20200505,ES,San Cristobal de La Laguna,1,1,1,0.0,1.0,100.0
127,20200505,FR,Besancon,1,1,1,0.0,1.0,100.0
128,20200505,FR,Boulogne-Billancourt,1,3,1,93.0,3.0,0.0
129,20200505,GB,Kingston upon Hull,1,2,2,0.0,1.0,100.0
130,20200505,HK,(not set),1,2,1,1347.0,2.0,0.0
131,20200505,IN,(not set),1,1,1,0.0,1.0,100.0
132,20200505,JP,Fukuoka,1,1,1,0.0,1.0,100.0
133,20200505,JP,Oyama,1,1,1,0.0,1.0,100.0
134,20200505,NZ,Nelson,1,1,1,0.0,1.0,100.0
135,20200505,PH,Quezon City,1,1,1,0.0,1.0,100.0
136,20200505,RU,Moscow,1,2,1,28.0,2.0,0.0
137,20200505,US,Berkeley,1,1,1,0.0,1.0,100.0
138,20200505,US,Carbondale,1,4,2,4.0,2.0,50.0
139,20200505,US,Chandler,1,9,5,1609.0,1.8,80.0
140,20200505,US,Columbus,1,1,1,0.0,1.0,100.0
141,20200505,US,Crozet,1,2,2,0.0,1.0,100.0
142,20200505,US,Dallas,1,2,1,13.0,2.0,0.0
143,20200505,US,Dublin,1,3,2,6.0,1.5,50.0
144,20200505,US,Fortuna,1,2,1,8.0,2.0,0.0
145,20200505,US,Four Corners,1,2,2,0.0,1.0,100.0
146,20200505,US,Livermore,1,2,1,47.0,2.0,0.0
147,20200505,US,Oak Ridge,1,2,1,988.0,2.0,0.0
148,20200505,US,Santa Clara,1,1,1,0.0,1.0,100.0
149,20200505,US,Santa Fe,1,2,2,0.0,1.0,100.0
150,20200505,US,The Woodlands,1,2,1,6.0,2.0,0.0
151,20200505,US,West Falls Church,1,17,3,4073.0,5.666666666666667,0.0
152,20200505,US,Winston-Salem,2,6,3,39.0,2.0,33.33333333333333
153,20200506,AR,Hurlingham,1,1,1,0.0,1.0,100.0
154,20200506,AU,Sydney,1,1,1,0.0,1.0,100.0
155,20200506,BE,Lede,1,1,1,0.0,1.0,100.0
156,20200506,BR,(not set),1,1,1,0.0,1.0,100.0
157,20200506,BR,Campinas,1,1,1,0.0,1.0,100.0
158,20200506,BR,Rio de Janeiro,1,1,1,0.0,1.0,100.0
159,20200506,CA,Waterloo,1,3,1,24.0,3.0,0.0
160,20200506,CH,Zurich,2,3,2,7.0,1.5,50.0
161,20200506,CN,(not set),2,5,2,549.0,2.5,50.0
162,20200506,CN,Beijing,1,1,1,0.0,1.0,100.0
163,20200506,CN,Foshan,1,22,3,2284.0,7.333333333333333,0.0
164,20200506,CN,Nanjing,1,1,1,0.0,1.0,100.0
165,20200506,CN,Shanghai,1,1,1,0.0,1.0,100.0
166,20200506,DE,Frankfurt,1,1,1,0.0,1.0,100.0
167,20200506,DE,Marienberg,1,2,1,12.0,2.0,0.0
168,20200506,DE,Munich,1,1,1,0.0,1.0,100.0
169,20200506,DE,Norderstedt,1,1,1,0.0,1.0,100.0
170,20200506,ES,Port de Sagunt,1,2,1,11.0,2.0,0.0
171,20200506,ES,Salamanca,1,1,1,0.0,1.0,100.0
172,20200506,FR,Mayenne,1,1,1,0.0,1.0,100.0
173,20200506,GB,Berkhamsted,1,11,3,1103.0,3.6666666666666665,0.0
174,20200506,GB,Durham,1,3,2,44.0,1.5,50.0
175,20200506,GB,London,1,1,1,0.0,1.0,100.0
176,20200506,IN,Hyderabad,1,1,1,0.0,1.0,100.0
177,20200506,JP,Chuo City,1,1,1,0.0,1.0,100.0
178,20200506,JP,Fukuoka,1,13,1,1230.0,13.0,0.0
179,20200506,JP,Shibuya City,1,1,1,0.0,1.0,100.0
180,20200506,JP,Shinjuku City,1,9,3,1015.0,3.0,33.33333333333333
181,20200506,JP,Tsukuba,1,1,1,0.0,1.0,100.0
182,20200506,PL,Warsaw,1,3,1,439.0,3.0,0.0
183,20200506,SE,Nykvarn,1,2,1,14.0,2.0,0.0
184,20200506,TZ,409-2521,1,1,1,0.0,1.0,100.0
185,20200506,US,Albuquerque,2,12,4,1639.0,3.0,50.0
186,20200506,US,Berkeley,1,3,1,2306.0,3.0,0.0
187,20200506,US,Chandler,1,7,2,1335.0,3.5,50.0
188,20200506,US,Chicago,1,1,1,0.0,1.0,100.0
189,20200506,US,Eugene,2,3,2,67.0,1.5,50.0
190,20200506,US,Four Corners,1,9,1,1849.0,9.0,0.0
191,20200506,US,Hillsboro,1,1,1,0.0,1.0,100.0
192,20200506,US,Livermore,2,4,2,526.0,2.0,50.0
193,20200506,US,Los Alamos,1,1,1,0.0,1.0,100.0
194,20200506,US,Lubbock,2,5,2,763.0,2.5,0.0
195,20200506,US,Norfolk,1,1,1,0.0,1.0,100.0
196,20200506,US,Santa Clara,1,1,1,0.0,1.0,100.0
197,20200506,US,Santa Fe,2,5,3,19.0,1.6666666666666667,33.33333333333333
198,20200506,US,Vicksburg,1,1,1,0.0,1.0,100.0
199,20200506,US,West Falls Church,1,2,1,119.0,2.0,0.0
200,20200507,AU,Sydney,1,1,1,0.0,1.0,100.0
201,20200507,CA,Toronto,1,3,2,15.0,1.5,50.0
202,20200507,CH,Zurich,1,4,2,198.0,2.0,50.0
203,20200507,ES,(not set),1,1,1,0.0,1.0,100.0
204,20200507,FI,Turku,1,1,1,0.0,1.0,100.0
205,20200507,FR,(not set),1,1,1,0.0,1.0,100.0
206,20200507,FR,Bagneux,1,1,1,0.0,1.0,100.0
207,20200507,FR,Macon,1,5,2,471.0,2.5,0.0
208,20200507,FR,Massy,1,1,1,0.0,1.0,100.0
209,20200507,FR,Mayenne,1,1,1,0.0,1.0,100.0
210,20200507,GB,Bristol,1,1,1,0.0,1.0,100.0
211,20200507,GB,Kingston upon Hull,1,1,1,0.0,1.0,100.0
212,20200507,HK,(not set),1,4,2,212.0,2.0,0.0
213,20200507,IN,Hyderabad,1,1,1,0.0,1.0,100.0
214,20200507,IT,(not set),1,1,1,0.0,1.0,100.0
215,20200507,IT,Brescia,1,1,1,0.0,1.0,100.0
216,20200507,JP,Chuo City,1,4,1,196.0,4.0,0.0
217,20200507,JP,Nagoya,1,1,1,0.0,1.0,100.0
218,20200507,JP,Toyonaka,1,2,1,405.0,2.0,0.0
219,20200507,MY,Bandar Baru Bangi,1,2,1,9.0,2.0,0.0
220,20200507,NZ,Dunedin,1,1,1,0.0,1.0,100.0
221,20200507,US,(not set),1,3,1,38.0,3.0,0.0
222,20200507,US,Albuquerque,3,4,3,508.0,1.3333333333333333,66.66666666666666
223,20200507,US,Dallas,1,2,1,241.0,2.0,0.0
224,20200507,US,Fort Gibson,1,1,1,0.0,1.0,100.0
225,20200507,US,Huntersville,1,1,1,0.0,1.0,100.0
226,20200507,US,Itasca,1,10,1,1760.0,10.0,0.0
227,20200507,US,Livermore,2,5,3,92.0,1.6666666666666667,33.33333333333333
228,20200507,US,Lubbock,2,9,2,800.0,4.5,50.0
229,20200507,US,Mount Kisco,1,1,1,0.0,1.0,100.0
230,20200507,US,Oak Ridge,1,9,3,1862.0,3.0,0.0
231,20200507,US,San Diego,1,1,1,0.0,1.0,100.0
232,20200507,US,San Jose,1,2,2,0.0,1.0,100.0
233,20200507,US,Santa Clara,1,2,1,6.0,2.0,0.0
234,20200507,US,Santa Fe,2,7,3,218.0,2.3333333333333335,66.66666666666666
235,20200507,US,The Woodlands,1,7,3,703.0,2.3333333333333335,0.0
236,20200507,US,West Falls Church,1,1,1,0.0,1.0,100.0
237,20200507,US,Winston-Salem,5,29,9,2578.0,3.2222222222222223,33.33333333333333
238,20200508,AU,Sydney,1,2,1,8.0,2.0,0.0
239,20200508,BR,Brasilia,1,1,1,0.0,1.0,100.0
240,20200508,BR,Rio de Janeiro,1,1,1,0.0,1.0,100.0
241,20200508,CN,Changchun,1,5,1,462.0,5.0,0.0
242,20200508,DE,Munich,1,1,1,0.0,1.0,100.0
243,20200508,DE,Neuss,1,1,1,0.0,1.0,100.0
244,20200508,FR,Palaiseau,1,1,1,0.0,1.0,100.0
245,20200508,GB,Durham,1,3,2,188.0,1.5,50.0
246,20200508,IR,Tehran,1,1,1,0.0,1.0,100.0
247,20200508,IT,(not set),1,5,1,61.0,5.0,0.0
248,20200508,JP,Nishio,1,1,1,0.0,1.0,100.0
249,20200508,JP,Osaka,1,1,1,0.0,1.0,100.0
250,20200508,JP,Yokohama,1,1,1,0.0,1.0,100.0
