,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20170901,AT,1,2,1,221.0,2.0,0.0
1,20170901,AU,2,7,2,136.0,3.5,0.0
2,20170901,BE,3,5,4,4.0,1.25,75.0
3,20170901,CA,6,17,8,1604.0,2.125,62.5
4,20170901,CH,2,20,2,370.0,10.0,50.0
5,20170901,CR,1,1,1,0.0,1.0,100.0
6,20170901,DE,5,6,5,58.0,1.2,80.0
7,20170901,ES,1,3,3,0.0,1.0,100.0
8,20170901,FI,1,1,1,0.0,1.0,100.0
9,20170901,FR,1,1,1,0.0,1.0,100.0
10,20170901,GB,8,24,8,1161.0,3.0,50.0
11,20170901,HR,1,1,1,0.0,1.0,100.0
12,20170901,ID,1,2,1,7.0,2.0,0.0
13,20170901,IN,5,7,6,26.0,1.1666666666666667,83.33333333333334
14,20170901,JP,1,26,3,2977.0,8.666666666666666,0.0
15,20170901,KR,1,4,2,23.0,2.0,50.0
16,20170901,MX,1,1,1,0.0,1.0,100.0
17,20170901,NL,2,23,5,1970.0,4.6,20.0
18,20170901,NO,3,9,5,439.0,1.8,40.0
19,20170901,RU,1,1,1,0.0,1.0,100.0
20,20170901,SE,1,5,3,757.0,1.6666666666666667,33.33333333333333
21,20170901,US,15,52,22,7039.0,2.3636363636363638,68.18181818181817
22,20170902,BE,3,4,3,567.0,1.3333333333333333,66.66666666666666
23,20170902,CN,1,1,1,0.0,1.0,100.0
24,20170902,FR,1,1,1,0.0,1.0,100.0
25,20170902,GB,2,2,2,0.0,1.0,100.0
26,20170902,JP,1,4,1,47.0,4.0,0.0
27,20170902,LK,2,2,2,0.0,1.0,100.0
28,20170902,MX,1,1,1,0.0,1.0,100.0
29,20170902,PT,1,1,1,0.0,1.0,100.0
30,20170902,TH,1,1,1,0.0,1.0,100.0
31,20170902,US,9,57,13,3080.0,4.384615384615385,38.46153846153847
32,20170903,AE,1,1,1,0.0,1.0,100.0
33,20170903,ES,1,1,1,0.0,1.0,100.0
34,20170903,GB,2,7,2,410.0,3.5,0.0
35,20170903,IL,1,1,1,0.0,1.0,100.0
36,20170903,IN,2,3,2,49.0,1.5,50.0
37,20170903,IR,1,1,1,0.0,1.0,100.0
38,20170903,KR,1,1,1,0.0,1.0,100.0
39,20170903,NL,1,1,1,0.0,1.0,100.0
40,20170903,RO,2,6,2,80.0,3.0,50.0
41,20170903,RU,1,1,1,0.0,1.0,100.0
42,20170903,SI,1,1,1,0.0,1.0,100.0
43,20170903,US,3,3,3,0.0,1.0,100.0
44,20170904,AT,1,1,1,0.0,1.0,100.0
45,20170904,AU,3,21,8,2748.0,2.625,37.5
46,20170904,BE,4,8,5,101.0,1.6,40.0
47,20170904,BG,1,1,1,0.0,1.0,100.0
48,20170904,CA,1,1,1,0.0,1.0,100.0
49,20170904,CH,3,29,4,2880.0,7.25,25.0
50,20170904,CU,3,5,4,3.0,1.25,75.0
51,20170904,CZ,1,1,1,0.0,1.0,100.0
52,20170904,DE,5,13,5,1865.0,2.6,40.0
53,20170904,DK,1,1,1,0.0,1.0,100.0
54,20170904,ES,6,11,6,1851.0,1.8333333333333333,50.0
