,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20210101,(direct),3,8,151.0,2.6666666666666665,33.33333333333333
1,20210101,easybuild.readthedocs.io,1,1,0.0,1.0,100.0
2,20210101,google,11,31,5848.0,2.3846153846153846,69.23076923076923
3,20210102,(direct),2,2,0.0,1.0,100.0
4,20210102,bing,2,2,0.0,1.0,100.0
5,20210102,github.com,1,1,0.0,1.0,100.0
6,20210102,google,25,52,2164.0,1.793103448275862,65.51724137931035
7,20210102,startpage.com,1,1,0.0,1.0,100.0
8,20210103,(direct),5,6,11.0,1.2,80.0
9,20210103,arc.vt.edu,1,1,0.0,1.0,100.0
10,20210103,easybuilders.github.io,1,1,0.0,1.0,100.0
11,20210103,github.com,2,5,1056.0,1.6666666666666667,33.33333333333333
12,20210103,google,26,61,5461.0,1.90625,62.5
13,20210103,sphinx-doc.org,1,1,0.0,1.0,100.0
14,20210104,(direct),16,38,2363.0,2.0,57.89473684210527
15,20210104,bing,1,1,0.0,1.0,100.0
16,20210104,docs.abinit.org,1,3,37.0,1.5,50.0
17,20210104,documentation.sigma2.no,1,3,16.0,3.0,0.0
18,20210104,duckduckgo,1,3,319.0,3.0,0.0
19,20210104,easybuild.io,2,8,71.0,4.0,50.0
20,20210104,github.com,3,14,488.0,2.8,40.0
21,20210104,google,50,111,17025.0,1.734375,62.5
22,20210104,rt.uninett.no,1,2,33.0,2.0,0.0
23,20210104,sphinx-doc.org,1,1,0.0,1.0,100.0
24,20210104,startpage.com,1,2,531.0,2.0,0.0
25,20210104,triqs.github.io,3,5,260.0,1.6666666666666667,66.66666666666666
26,20210104,wiki.fysik.dtu.dk,2,17,3618.0,5.666666666666667,33.33333333333333
27,20210105,(direct),18,37,2213.0,1.7619047619047619,80.95238095238095
28,20210105,bing,1,1,0.0,1.0,100.0
29,20210105,cn.bing.com,1,1,0.0,1.0,100.0
30,20210105,easybuild.io,1,10,954.0,10.0,0.0
31,20210105,github.com,2,2,0.0,1.0,100.0
32,20210105,google,52,119,12693.0,1.8888888888888888,63.49206349206349
33,20210105,triqs.github.io,1,10,312.0,10.0,0.0
34,20210105,wikis.uni-paderborn.de,1,1,0.0,1.0,100.0
35,20210106,(direct),19,28,1469.0,1.4736842105263157,89.47368421052632
36,20210106,documentation.sigma2.no,1,2,31.0,2.0,0.0
37,20210106,duckduckgo,1,1,0.0,1.0,100.0
38,20210106,google,65,193,19062.0,2.4125,62.5
39,20210106,jira.iter.org,1,1,0.0,1.0,100.0
40,20210106,sphinx-doc.org,3,3,0.0,1.0,100.0
41,20210106,sysadmin.libhunt.com,1,4,72.0,4.0,0.0
42,20210107,(direct),13,32,1534.0,2.0,68.75
43,20210107,easybuild.readthedocs.io,1,11,68.0,5.5,50.0
44,20210107,github.com,1,1,0.0,1.0,100.0
45,20210107,google,66,124,5490.0,1.5897435897435896,73.07692307692307
46,20210107,sphinx-doc.org,2,2,0.0,1.0,100.0
47,20210107,triqs.github.io,1,4,362.0,2.0,50.0
48,20210108,(direct),24,41,2273.0,1.64,80.0
49,20210108,arc.vt.edu,1,1,0.0,1.0,100.0
50,20210108,duckduckgo,1,1,0.0,1.0,100.0
51,20210108,easybuild.io,1,4,133.0,4.0,0.0
52,20210108,google,82,175,9281.0,1.8229166666666667,71.875
53,20210108,pypi.org,1,1,0.0,1.0,100.0
54,20210108,sphinx-doc.org,1,1,0.0,1.0,100.0
55,20210108,startpage.com,1,1,0.0,1.0,100.0
56,20210108,summerofhpc.prace-ri.eu,1,2,0.0,1.0,100.0
57,20210108,triqs.github.io,2,12,1703.0,4.0,0.0
58,20210109,(direct),7,9,149.0,1.2857142857142858,71.42857142857143
59,20210109,easybuild.io,1,3,23.0,3.0,0.0
60,20210109,github.com,2,20,4990.0,10.0,50.0
61,20210109,google,33,83,10029.0,2.075,65.0
62,20210109,nrgljubljana.ijs.si,1,1,0.0,1.0,100.0
63,20210109,sphinx-doc.org,1,2,1673.0,2.0,0.0
64,20210110,(direct),3,5,303.0,1.6666666666666667,33.33333333333333
65,20210110,google,21,33,1326.0,1.434782608695652,78.26086956521739
66,20210110,triqs.github.io,1,1,0.0,1.0,100.0
67,20210111,(direct),23,57,3234.0,2.1923076923076925,57.692307692307686
68,20210111,documentation.sigma2.no,1,7,199.0,7.0,0.0
69,20210111,duckduckgo,3,3,0.0,1.0,100.0
70,20210111,easybuild.io,1,1,0.0,1.0,100.0
71,20210111,easybuild.readthedocs.io,1,1,0.0,1.0,100.0
72,20210111,easybuilders.github.io,1,5,195.0,2.5,0.0
73,20210111,gc2.science.nus.edu.sg,1,1,0.0,1.0,100.0
74,20210111,github.com,1,2,310.0,2.0,0.0
75,20210111,google,85,165,15027.0,1.7553191489361701,76.59574468085107
76,20210111,hpc.ntnu.no,1,1,0.0,1.0,100.0
77,20210111,pypi.org,1,2,17.0,2.0,0.0
78,20210111,sphinx-doc.org,1,3,17.0,3.0,0.0
79,20210111,summerofhpc.prace-ri.eu,1,1,0.0,1.0,100.0
80,20210111,triqs.github.io,1,1,0.0,1.0,100.0
81,20210111,ulhpc-tutorials.readthedocs.io,1,1,0.0,1.0,100.0
82,20210111,web.skype.com,1,1,0.0,1.0,100.0
83,20210111,wiki.fysik.dtu.dk,1,1,0.0,1.0,100.0
84,20210112,(direct),18,34,2017.0,1.7894736842105263,68.42105263157895
85,20210112,baidu,2,2,0.0,1.0,100.0
86,20210112,doc.zih.tu-dresden.de,1,1,0.0,1.0,100.0
87,20210112,docs.abinit.org,1,1,0.0,1.0,100.0
88,20210112,docs.cesvima.upm.es,1,1,0.0,1.0,100.0
89,20210112,documentation.sigma2.no,1,2,792.0,2.0,0.0
90,20210112,duckduckgo,2,4,501.0,2.0,50.0
91,20210112,easybuild.io,1,1,0.0,1.0,100.0
92,20210112,easybuild.readthedocs.io,1,1,0.0,1.0,100.0
93,20210112,github.com,2,2,0.0,1.0,100.0
94,20210112,google,78,183,13669.0,1.8865979381443299,68.04123711340206
95,20210112,hpc2n.umu.se,1,3,102.0,3.0,0.0
96,20210112,mail-archive.com,1,1,0.0,1.0,100.0
97,20210112,sphinx-doc.org,1,1,0.0,1.0,100.0
98,20210113,(direct),20,43,3755.0,1.9545454545454546,72.72727272727273
99,20210113,docs.abinit.org,1,2,237.0,2.0,0.0
100,20210113,easybuild.io,2,5,269.0,1.6666666666666667,66.66666666666666
101,20210113,easybuilders.github.io,1,2,43.0,2.0,0.0
102,20210113,eessi.github.io,1,1,0.0,1.0,100.0
103,20210113,github.com,1,5,291.0,2.5,50.0
104,20210113,google,83,189,16528.0,1.9090909090909092,68.68686868686868
105,20210113,hpcnow.atlassian.net,1,3,620.0,1.5,50.0
106,20210113,hydra.gsu.edu,1,1,0.0,1.0,100.0
107,20210113,lavasoft.gosearchresults.com,1,1,0.0,1.0,100.0
108,20210113,mail-archive.com,1,2,394.0,2.0,0.0
109,20210113,pypi.org,1,1,0.0,1.0,100.0
110,20210113,sphinx-doc.org,3,3,0.0,1.0,100.0
111,20210113,wiki.fysik.dtu.dk,1,6,60.0,6.0,0.0
112,20210114,(direct),21,47,1330.0,1.8076923076923077,42.30769230769231
113,20210114,baidu,1,1,0.0,1.0,100.0
114,20210114,cn.bing.com,1,1,0.0,1.0,100.0
115,20210114,duckduckgo,2,57,13613.0,19.0,0.0
116,20210114,easybuild.io,3,7,1219.0,1.75,50.0
117,20210114,easybuilders.github.io,1,2,578.0,2.0,0.0
118,20210114,github.com,4,4,0.0,1.0,100.0
119,20210114,google,69,173,16320.0,1.9222222222222223,67.77777777777779
120,20210114,hpcnow.atlassian.net,1,1,0.0,1.0,100.0
121,20210114,hydra.gsu.edu,1,5,1332.0,2.5,50.0
122,20210114,jiaweizhuang.github.io,1,3,24.0,3.0,0.0
123,20210114,sphinx-doc.org,2,10,349.0,5.0,0.0
124,20210115,(direct),14,38,766.0,2.235294117647059,47.05882352941176
125,20210115,arc.vt.edu,1,6,1847.0,6.0,0.0
126,20210115,easybuild.io,1,2,594.0,2.0,0.0
127,20210115,easybuild.readthedocs.io,2,2,0.0,1.0,100.0
128,20210115,github.com,3,5,17.0,1.6666666666666667,33.33333333333333
129,20210115,google,84,200,20436.0,1.9047619047619047,69.52380952380952
130,20210115,hpc.uni.lu,1,8,248.0,8.0,0.0
131,20210115,pypi.org,2,2,0.0,1.0,100.0
132,20210115,sphinx-doc.org,2,2,0.0,1.0,100.0
133,20210115,userinfo.surfsara.nl,2,3,589.0,1.5,50.0
134,20210116,(direct),3,12,785.0,4.0,33.33333333333333
135,20210116,github.com,2,8,641.0,4.0,50.0
136,20210116,google,20,30,574.0,1.4285714285714286,85.71428571428571
137,20210117,(direct),6,14,1545.0,2.3333333333333335,50.0
138,20210117,github.com,1,1,0.0,1.0,100.0
139,20210117,google,25,50,2236.0,1.7857142857142858,75.0
140,20210118,(direct),16,22,462.0,1.375,81.25
141,20210118,doc.eresearch.unige.ch,1,1,0.0,1.0,100.0
142,20210118,docs.hpc.sussex.ac.uk,1,6,444.0,3.0,50.0
143,20210118,duckduckgo,1,2,2.0,2.0,0.0
144,20210118,easybuild.io,1,2,4.0,2.0,0.0
145,20210118,easybuild.readthedocs.io,2,2,0.0,1.0,100.0
146,20210118,google,67,124,5730.0,1.6756756756756757,70.27027027027027
147,20210118,sphinx-doc.org,2,2,0.0,1.0,100.0
148,20210119,(direct),9,19,362.0,2.111111111111111,22.22222222222222
149,20210119,arc.vt.edu,1,1,0.0,1.0,100.0
150,20210119,bing,1,1,0.0,1.0,100.0
151,20210119,easybuild.io,2,7,218.0,3.5,50.0
