,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20210801,AE,1,1,1,0.0,1.0,100.0
1,20210801,AU,2,3,2,11.0,1.5,50.0
2,20210801,BR,1,1,1,0.0,1.0,100.0
3,20210801,CH,1,1,1,0.0,1.0,100.0
4,20210801,CN,7,17,8,111.0,2.125,50.0
5,20210801,DE,3,5,3,111.0,1.6666666666666667,66.66666666666666
6,20210801,GB,2,3,2,17.0,1.5,50.0
7,20210801,IN,2,2,2,0.0,1.0,100.0
8,20210801,KR,3,3,3,0.0,1.0,100.0
9,20210801,PE,1,1,1,0.0,1.0,100.0
10,20210801,PL,1,1,1,0.0,1.0,100.0
11,20210801,RU,1,1,1,0.0,1.0,100.0
12,20210801,US,8,13,9,1004.0,1.4444444444444444,66.66666666666666
13,20210802,AT,1,1,1,0.0,1.0,100.0
14,20210802,AU,1,1,1,0.0,1.0,100.0
15,20210802,BO,1,1,1,0.0,1.0,100.0
16,20210802,BR,3,3,3,0.0,1.0,100.0
17,20210802,CA,3,3,3,0.0,1.0,100.0
18,20210802,CH,1,1,1,0.0,1.0,100.0
19,20210802,CN,6,8,7,21.0,1.1428571428571428,85.71428571428571
20,20210802,CO,1,1,1,0.0,1.0,100.0
21,20210802,ES,1,1,1,0.0,1.0,100.0
22,20210802,FR,2,2,2,0.0,1.0,100.0
23,20210802,GT,1,1,1,0.0,1.0,100.0
24,20210802,IL,1,1,1,0.0,1.0,100.0
25,20210802,IN,6,11,7,784.0,1.5714285714285714,85.71428571428571
26,20210802,IT,3,5,3,26.0,1.6666666666666667,33.33333333333333
27,20210802,JP,2,2,2,0.0,1.0,100.0
28,20210802,KR,2,2,2,0.0,1.0,100.0
29,20210802,MX,1,1,1,0.0,1.0,100.0
30,20210802,NL,1,1,1,0.0,1.0,100.0
31,20210802,PL,2,2,2,0.0,1.0,100.0
32,20210802,PT,1,3,1,97.0,3.0,0.0
33,20210802,RU,2,2,2,0.0,1.0,100.0
34,20210802,SG,1,1,1,0.0,1.0,100.0
35,20210802,US,34,52,39,1579.0,1.3333333333333333,79.48717948717949
36,20210803,AE,2,2,2,0.0,1.0,100.0
37,20210803,AU,1,1,1,0.0,1.0,100.0
38,20210803,BR,1,1,1,0.0,1.0,100.0
39,20210803,BY,1,1,1,0.0,1.0,100.0
40,20210803,CA,3,3,3,0.0,1.0,100.0
41,20210803,CH,3,5,3,101.0,1.6666666666666667,33.33333333333333
42,20210803,CN,7,9,9,0.0,1.0,100.0
43,20210803,DE,5,14,6,315.0,2.3333333333333335,66.66666666666666
44,20210803,DK,1,1,1,0.0,1.0,100.0
45,20210803,FR,4,6,4,504.0,1.5,50.0
46,20210803,GB,4,8,4,361.0,2.0,50.0
47,20210803,GR,2,2,2,0.0,1.0,100.0
48,20210803,HK,2,2,2,0.0,1.0,100.0
49,20210803,IL,1,1,1,0.0,1.0,100.0
50,20210803,IN,2,2,2,0.0,1.0,100.0
51,20210803,IT,2,3,3,0.0,1.0,100.0
52,20210803,JP,2,2,2,0.0,1.0,100.0
53,20210803,KR,1,3,1,13.0,3.0,0.0
54,20210803,MX,1,1,1,0.0,1.0,100.0
55,20210803,NL,1,1,1,0.0,1.0,100.0
56,20210803,RU,1,1,1,0.0,1.0,100.0
57,20210803,TR,1,8,1,80.0,8.0,0.0
58,20210803,TW,1,1,1,0.0,1.0,100.0
59,20210803,US,34,46,34,2228.0,1.3529411764705883,67.64705882352942
60,20210804,AT,1,1,1,0.0,1.0,100.0
61,20210804,BR,2,2,2,0.0,1.0,100.0
62,20210804,CA,2,3,3,0.0,1.0,100.0
63,20210804,CH,1,1,1,0.0,1.0,100.0
64,20210804,CL,1,2,2,0.0,1.0,100.0
65,20210804,CN,8,13,8,749.0,1.625,62.5
66,20210804,CO,2,2,2,0.0,1.0,100.0
67,20210804,DE,5,6,5,22.0,1.2,80.0
68,20210804,FR,3,6,5,606.0,1.2,80.0
69,20210804,GB,4,6,4,263.0,1.5,75.0
70,20210804,IN,1,1,1,0.0,1.0,100.0
71,20210804,IR,1,1,1,0.0,1.0,100.0
72,20210804,JP,3,12,3,1322.0,4.0,33.33333333333333
73,20210804,KR,3,3,3,0.0,1.0,100.0
74,20210804,PE,1,1,1,0.0,1.0,100.0
75,20210804,PT,1,1,1,0.0,1.0,100.0
76,20210804,SE,1,1,1,0.0,1.0,100.0
77,20210804,SG,1,1,1,0.0,1.0,100.0
78,20210804,TR,1,1,1,0.0,1.0,100.0
79,20210804,TZ,1,1,1,0.0,1.0,100.0
80,20210804,US,45,71,49,4626.0,1.4489795918367347,69.38775510204081
81,20210804,UY,1,2,1,69.0,2.0,0.0
82,20210804,VN,1,1,1,0.0,1.0,100.0
83,20210805,AE,1,1,1,0.0,1.0,100.0
84,20210805,AU,2,2,2,0.0,1.0,100.0
