,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20210301,(direct),18,24,307.0,1.263157894736842,73.68421052631578
1,20210301,baidu,3,5,105.0,1.6666666666666667,33.33333333333333
2,20210301,baidu.com,2,2,0.0,1.0,100.0
3,20210301,cn.bing.com,1,1,0.0,1.0,100.0
4,20210301,duckduckgo.com,2,3,40.0,1.5,50.0
5,20210301,ecosia.org,1,1,0.0,1.0,100.0
6,20210301,facebook.com,1,1,0.0,1.0,100.0
7,20210301,geant4-userdoc.web.cern.ch,5,7,861.0,1.4,60.0
8,20210301,github.com,6,6,0.0,1.0,100.0
9,20210301,google,59,100,3915.0,1.639344262295082,77.04918032786885
10,20210301,lab.cs.tsinghua.edu.cn,2,2,0.0,1.0,100.0
11,20210301,news.opensuse.org,1,1,0.0,1.0,100.0
12,20210301,openacc.org,1,1,0.0,1.0,100.0
13,20210301,postk-web.r-ccs.riken.jp,1,1,0.0,1.0,100.0
14,20210301,precice.org,1,1,0.0,1.0,100.0
15,20210302,(direct),18,28,577.0,1.4,85.0
16,20210302,ask.cyberinfrastructure.org,1,2,24.0,2.0,0.0
17,20210302,baidu,4,5,66.0,1.25,75.0
18,20210302,baidu.com,2,2,0.0,1.0,100.0
19,20210302,bing,1,1,0.0,1.0,100.0
20,20210302,docs.abci.ai,1,1,0.0,1.0,100.0
21,20210302,docs.sympy.org,2,3,29.0,1.5,50.0
22,20210302,geant4-userdoc.web.cern.ch,6,7,0.0,1.0,100.0
23,20210302,github.com,8,13,153.0,1.4444444444444444,77.77777777777779
24,20210302,google,61,68,184.0,1.0625,93.75
25,20210302,lab.cs.tsinghua.edu.cn,1,1,0.0,1.0,100.0
26,20210302,news.ycombinator.com,1,1,0.0,1.0,100.0
27,20210302,openacc.org,1,1,0.0,1.0,100.0
28,20210302,postk-web.r-ccs.riken.jp,1,5,43.0,5.0,0.0
29,20210302,qwant.com,1,1,0.0,1.0,100.0
30,20210303,(direct),29,35,1511.0,1.1666666666666667,86.66666666666667
31,20210303,baidu,4,5,15.0,1.25,75.0
32,20210303,baidu.com,1,1,0.0,1.0,100.0
33,20210303,bing,1,2,44.0,2.0,0.0
34,20210303,bitbucket.org,1,1,0.0,1.0,100.0
35,20210303,br.search.yahoo.com,1,1,0.0,1.0,100.0
36,20210303,collab.lmu.de,1,1,0.0,1.0,100.0
37,20210303,dealii.org,1,2,37.0,2.0,0.0
38,20210303,docs.sympy.org,1,1,0.0,1.0,100.0
39,20210303,duckduckgo.com,1,2,163.0,2.0,0.0
40,20210303,geant4-userdoc.web.cern.ch,2,2,0.0,1.0,100.0
41,20210303,github.com,4,7,49.0,1.75,25.0
42,20210303,google,73,91,985.0,1.1818181818181819,88.31168831168831
43,20210303,itswiki.bank-banque-canada.ca,1,1,0.0,1.0,100.0
44,20210303,nag.com,1,1,0.0,1.0,100.0
45,20210303,openacc.org,2,5,994.0,2.5,0.0
46,20210303,postk-web.r-ccs.riken.jp,1,1,0.0,1.0,100.0
47,20210303,scicomp.ethz.ch,1,2,14.0,2.0,0.0
48,20210304,(direct),22,30,2523.0,1.3043478260869565,73.91304347826086
49,20210304,baidu,1,2,17.0,2.0,0.0
50,20210304,baidu.com,1,1,0.0,1.0,100.0
51,20210304,bing,1,4,21.0,1.3333333333333333,66.66666666666666
52,20210304,cn.bing.com,2,2,0.0,1.0,100.0
53,20210304,duckduckgo.com,1,4,114.0,4.0,0.0
54,20210304,geant4-userdoc.web.cern.ch,3,4,6.0,1.3333333333333333,66.66666666666666
55,20210304,github.com,4,4,0.0,1.0,100.0
56,20210304,google,60,76,596.0,1.1875,85.9375
57,20210304,openacc.org,1,1,0.0,1.0,100.0
58,20210304,postk-web.r-ccs.riken.jp,1,1,0.0,1.0,100.0
59,20210305,(direct),33,49,392.0,1.4848484848484849,84.84848484848484
60,20210305,baidu,1,1,0.0,1.0,100.0
61,20210305,bing,1,3,30.0,3.0,0.0
62,20210305,cn.bing.com,1,1,0.0,1.0,100.0
63,20210305,csc.uni-frankfurt.de,1,2,0.0,1.0,100.0
64,20210305,docs.csc.fi,1,3,96.0,3.0,0.0
65,20210305,eessi-hpc.org,1,1,0.0,1.0,100.0
66,20210305,en.cppreference.com,1,2,799.0,2.0,0.0
67,20210305,fsslc.github.io,1,2,0.0,1.0,100.0
68,20210305,geant4-userdoc.web.cern.ch,4,4,0.0,1.0,100.0
69,20210305,github.com,4,26,165.0,5.2,20.0
70,20210305,google,37,54,1246.0,1.3170731707317074,80.48780487804879
71,20210305,mpm.cb-geo.com,2,3,0.0,1.0,100.0
72,20210305,openacc.org,1,1,0.0,1.0,100.0
73,20210305,qwant.com,1,1,0.0,1.0,100.0
74,20210305,search.pch.com,1,1,0.0,1.0,100.0
75,20210305,software.llnl.gov,1,1,0.0,1.0,100.0
76,20210305,t.co,1,1,0.0,1.0,100.0
77,20210305,wiki.octave.org,1,1,0.0,1.0,100.0
78,20210306,(direct),9,11,21.0,1.2222222222222223,77.77777777777779
79,20210306,baidu.com,1,1,0.0,1.0,100.0
80,20210306,bing,1,1,0.0,1.0,100.0
81,20210306,duckduckgo.com,1,2,12.0,2.0,0.0
82,20210306,en.cppreference.com,1,1,0.0,1.0,100.0
83,20210306,fsslc.github.io,1,1,0.0,1.0,100.0
84,20210306,geant4-userdoc.web.cern.ch,5,6,34.0,1.2,80.0
85,20210306,github.com,3,5,86.0,1.6666666666666667,66.66666666666666
86,20210306,google,24,58,1828.0,2.0,79.3103448275862
87,20210306,lab.cs.tsinghua.edu.cn,1,2,24.0,2.0,0.0
