,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20201001,(direct),5,11,12.0,1.5714285714285714,71.42857142857143
1,20201001,baidu,1,1,0.0,1.0,100.0
2,20201001,documentation.sigma2.no,1,2,8.0,2.0,0.0
3,20201001,easybuilders.github.io,3,16,2110.0,4.0,25.0
4,20201001,github.com,2,5,88.0,2.5,50.0
5,20201001,google,77,178,17965.0,1.913978494623656,63.44086021505376
6,20201001,sphinx-doc.org,4,4,0.0,1.0,100.0
7,20201002,(direct),18,22,106.0,1.2222222222222223,77.77777777777779
8,20201002,documentation.sigma2.no,1,4,532.0,4.0,0.0
9,20201002,easybuilders.github.io,1,3,97.0,3.0,0.0
10,20201002,escience.sdu.dk,1,1,0.0,1.0,100.0
11,20201002,google,69,132,5451.0,1.6296296296296295,75.30864197530865
12,20201002,intranet.birmingham.ac.uk,1,1,0.0,1.0,100.0
13,20201002,mail.google.com,1,1,0.0,1.0,100.0
14,20201002,sphinx-doc.org,2,2,0.0,1.0,100.0
15,20201003,(direct),8,13,228.0,1.625,75.0
16,20201003,duckduckgo,1,1,0.0,1.0,100.0
17,20201003,easybuilders.github.io,1,2,4.0,2.0,0.0
18,20201003,github.com,2,11,3442.0,5.5,50.0
19,20201003,google,21,35,3979.0,1.4,88.0
20,20201003,hprc.tamu.edu,1,1,0.0,1.0,100.0
21,20201003,mail.google.com,1,3,184.0,3.0,0.0
22,20201003,sphinx-doc.org,1,1,0.0,1.0,100.0
23,20201004,(direct),5,10,259.0,2.0,80.0
24,20201004,baidu,3,3,0.0,1.0,100.0
25,20201004,github.com,1,2,0.0,1.0,100.0
26,20201004,google,13,36,6548.0,2.4,66.66666666666666
27,20201004,jiaweizhuang.github.io,1,1,0.0,1.0,100.0
28,20201005,(direct),18,44,3585.0,2.2,60.0
29,20201005,bing,1,1,0.0,1.0,100.0
30,20201005,docs.hpc.sussex.ac.uk,1,1,0.0,1.0,100.0
31,20201005,documentation.sigma2.no,2,5,533.0,2.5,0.0
32,20201005,easybuilders.github.io,1,5,39.0,5.0,0.0
33,20201005,github.com,1,1,0.0,1.0,100.0
34,20201005,google,84,160,13115.0,1.6842105263157894,76.84210526315789
35,20201005,jiaweizhuang.github.io,1,1,0.0,1.0,100.0
36,20201005,listserv.fysik.dtu.dk,1,1,0.0,1.0,100.0
37,20201005,mail.google.com,2,3,0.0,1.0,100.0
38,20201005,sphinx-doc.org,2,2,0.0,1.0,100.0
39,20201006,(direct),14,27,46.0,1.9285714285714286,64.28571428571429
