,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20190501,(direct),13,27,226.0,2.076923076923077,61.53846153846154
1,20190501,baidu,1,1,0.0,1.0,100.0
2,20190501,duckduckgo,1,1,0.0,1.0,100.0
3,20190501,easybuilders.github.io,1,2,11.0,2.0,0.0
4,20190501,github.com,1,14,45.0,2.3333333333333335,16.666666666666664
5,20190501,google,51,120,14191.0,1.9672131147540983,70.49180327868852
6,20190501,pypi.org,1,1,0.0,1.0,100.0
7,20190501,sphinx-doc.org,1,1,0.0,1.0,100.0
8,20190502,(direct),13,30,1093.0,2.142857142857143,64.28571428571429
9,20190502,duckduckgo,1,2,6.0,2.0,0.0
10,20190502,easybuilders.github.io,2,3,52.0,1.5,50.0
11,20190502,github.com,1,5,10.0,1.6666666666666667,33.33333333333333
12,20190502,google,89,270,29015.0,2.1951219512195124,63.41463414634146
13,20190502,hpcdocs.pfizer.com,1,4,460.0,4.0,0.0
14,20190502,jiaweizhuang.github.io,1,1,0.0,1.0,100.0
15,20190502,pypi.org,1,2,0.0,1.0,100.0
16,20190502,sphinx-doc.org,1,2,0.0,1.0,100.0
17,20190502,wiki.fysik.dtu.dk,1,5,974.0,5.0,0.0
18,20190503,(direct),10,14,1582.0,1.4,70.0
19,20190503,duckduckgo,1,1,0.0,1.0,100.0
20,20190503,easybuilders.github.io,1,1,0.0,1.0,100.0
21,20190503,google,76,157,11084.0,1.8255813953488371,67.44186046511628
22,20190503,mail.surfsara.nl,1,1,0.0,1.0,100.0
23,20190503,otrs.zih.tu-dresden.de,1,1,0.0,1.0,100.0
24,20190503,sphinx-doc.org,2,2,0.0,1.0,100.0
25,20190504,(direct),13,24,737.0,1.7142857142857142,85.71428571428571
26,20190504,duckduckgo,1,2,461.0,2.0,0.0
27,20190504,github.com,1,2,7.0,2.0,0.0
28,20190504,google,22,45,8359.0,1.9565217391304348,60.86956521739131
29,20190505,(direct),6,8,50.0,1.1428571428571428,85.71428571428571
30,20190505,duckduckgo,2,3,22.0,1.5,50.0
31,20190505,github.com,2,5,5.0,1.6666666666666667,33.33333333333333
32,20190505,google,11,14,27.0,1.1666666666666667,83.33333333333334
33,20190506,(direct),11,15,466.0,1.3636363636363635,81.81818181818183
34,20190506,bing,1,3,27.0,3.0,0.0
35,20190506,easybuilders.github.io,1,1,0.0,1.0,100.0
36,20190506,github.com,1,1,0.0,1.0,100.0
37,20190506,google,75,160,14795.0,1.702127659574468,63.829787234042556
38,20190506,sphinx-doc.org,1,1,0.0,1.0,100.0
39,20190506,userinfo.surfsara.nl,1,1,0.0,1.0,100.0
40,20190507,(direct),20,33,704.0,1.5714285714285714,71.42857142857143
41,20190507,bing,2,6,30.0,3.0,50.0
42,20190507,cluster-in-the-cloud.readthedocs.io,1,2,11.0,2.0,0.0
43,20190507,duckduckgo,1,1,0.0,1.0,100.0
44,20190507,easybuilders.github.io,1,2,21.0,2.0,0.0
45,20190507,github.com,2,12,1094.0,4.0,33.33333333333333
46,20190507,google,97,199,8678.0,1.7456140350877194,67.54385964912281
47,20190507,sphinx-doc.org,3,5,19.0,1.6666666666666667,66.66666666666666
48,20190508,(direct),13,26,841.0,1.7333333333333334,73.33333333333333
49,20190508,baidu,1,1,0.0,1.0,100.0
50,20190508,duckduckgo,2,5,2577.0,2.5,50.0
51,20190508,easybuilders.github.io,1,1,0.0,1.0,100.0
52,20190508,github.com,2,5,12.0,1.6666666666666667,33.33333333333333
53,20190508,google,101,202,13585.0,1.6974789915966386,74.78991596638656
54,20190508,pypi.org,1,1,0.0,1.0,100.0
55,20190508,sphinx-doc.org,2,2,0.0,1.0,100.0
56,20190508,yahoo,1,2,13.0,2.0,0.0
57,20190509,(direct),17,29,1606.0,1.7058823529411764,70.58823529411765
58,20190509,easybuilders.github.io,1,1,0.0,1.0,100.0
59,20190509,github.com,2,3,10.0,1.5,50.0
60,20190509,google,87,160,6921.0,1.5533980582524272,64.07766990291263
61,20190509,hpcnow.com,1,2,5.0,2.0,0.0
62,20190509,hprc.tamu.edu,1,3,108.0,3.0,0.0
63,20190509,sphinx-doc.org,1,1,0.0,1.0,100.0
64,20190509,user.cscs.ch,1,4,98.0,4.0,0.0
65,20190509,wiki.fysik.dtu.dk,1,3,13.0,1.5,50.0
66,20190509,wiki.gacrc.uga.edu,1,1,0.0,1.0,100.0
67,20190510,(direct),8,16,1130.0,1.7777777777777777,66.66666666666666
68,20190510,bing,1,7,4201.0,7.0,0.0
69,20190510,duckduckgo,4,14,803.0,2.8,20.0
70,20190510,easybuilders.github.io,1,3,67.0,3.0,0.0
71,20190510,github.com,1,2,0.0,1.0,100.0
72,20190510,google,77,164,8130.0,1.9069767441860466,69.76744186046511
73,20190510,mail-archive.com,1,5,278.0,2.5,50.0
