,ga:date,ga:countryIsoCode,ga:users,ga:pageViews,ga:sessions,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20211101,AR,1,2,1,1123.0,2.0,0.0
1,20211101,AU,1,2,1,0.0,2.0,0.0
2,20211101,CA,5,8,6,203.0,1.3333333333333333,83.33333333333334
3,20211101,CH,5,13,7,294.0,1.8571428571428572,57.14285714285714
4,20211101,CZ,4,7,6,29.0,1.1666666666666667,83.33333333333334
5,20211101,DE,1,1,1,0.0,1.0,100.0
6,20211101,ES,1,5,2,475.0,2.5,50.0
7,20211101,FR,3,6,4,1264.0,1.5,50.0
8,20211101,GB,13,21,15,709.0,1.4,80.0
9,20211101,IL,1,4,2,339.0,2.0,0.0
10,20211101,IN,2,3,2,6.0,1.5,50.0
11,20211101,IT,1,1,1,0.0,1.0,100.0
12,20211101,JP,2,2,2,0.0,1.0,100.0
13,20211101,LU,1,2,2,0.0,1.0,100.0
14,20211101,MA,4,13,9,1667.0,1.4444444444444444,66.66666666666666
15,20211101,MN,1,1,1,0.0,1.0,100.0
16,20211101,NL,10,15,13,118.0,1.1538461538461537,92.3076923076923
17,20211101,RU,4,22,9,873.0,2.4444444444444446,55.55555555555556
18,20211101,SE,2,2,2,0.0,1.0,100.0
19,20211101,SG,1,21,4,1518.0,5.25,50.0
20,20211101,TR,1,1,1,0.0,1.0,100.0
21,20211101,US,22,53,26,4855.0,2.0384615384615383,65.38461538461539
22,20211102,AT,1,7,3,491.0,2.3333333333333335,33.33333333333333
23,20211102,AU,2,2,2,0.0,1.0,100.0
24,20211102,BE,1,3,1,22.0,3.0,0.0
25,20211102,CA,1,1,1,0.0,1.0,100.0
26,20211102,CH,6,24,10,3585.0,2.4,40.0
27,20211102,CN,2,3,2,10.0,1.5,50.0
28,20211102,DE,9,43,16,6359.0,2.6875,43.75
29,20211102,ES,7,11,7,427.0,1.5714285714285714,85.71428571428571
30,20211102,FI,1,1,1,0.0,1.0,100.0
31,20211102,FR,5,16,5,2724.0,3.2,60.0
32,20211102,GB,15,34,19,3079.0,1.7894736842105263,63.1578947368421
33,20211102,HK,1,1,1,0.0,1.0,100.0
34,20211102,IL,1,1,1,0.0,1.0,100.0
35,20211102,IN,2,5,3,37.0,1.6666666666666667,66.66666666666666
36,20211102,IT,2,2,2,0.0,1.0,100.0
37,20211102,LK,1,1,1,0.0,1.0,100.0
38,20211102,LU,1,3,2,15.0,1.5,50.0
39,20211102,MA,1,1,1,0.0,1.0,100.0
40,20211102,NL,3,7,4,57.0,1.75,50.0
41,20211102,NO,1,1,1,0.0,1.0,100.0
42,20211102,RO,1,1,1,0.0,1.0,100.0
43,20211102,RU,5,6,5,56.0,1.2,80.0
44,20211102,SE,4,9,4,2090.0,2.25,75.0
45,20211102,SG,2,13,4,1643.0,3.25,25.0
46,20211102,TN,1,1,1,0.0,1.0,100.0
47,20211102,TW,1,1,1,0.0,1.0,100.0
48,20211102,UA,1,1,1,0.0,1.0,100.0
49,20211102,US,22,59,28,3382.0,2.107142857142857,64.28571428571429
50,20211102,VN,1,1,1,0.0,1.0,100.0
51,20211103,AT,4,33,7,4460.0,4.714285714285714,42.857142857142854
52,20211103,AU,2,3,3,0.0,1.0,100.0
53,20211103,BE,2,3,2,74.0,1.5,50.0
54,20211103,BR,1,1,1,0.0,1.0,100.0
55,20211103,CA,2,3,2,6.0,1.5,50.0
56,20211103,CH,9,20,13,2588.0,1.5384615384615385,84.61538461538461
57,20211103,CY,2,31,6,7660.0,5.166666666666667,16.666666666666664
58,20211103,DE,6,25,8,1947.0,3.125,50.0
59,20211103,ES,6,12,9,379.0,1.3333333333333333,88.88888888888889
60,20211103,FR,4,4,4,0.0,1.0,100.0
61,20211103,GB,14,31,19,2067.0,1.631578947368421,68.42105263157895
62,20211103,IL,3,3,3,0.0,1.0,100.0
63,20211103,IN,5,6,5,16.0,1.2,80.0
64,20211103,IT,3,6,4,489.0,1.5,75.0
65,20211103,JP,1,5,2,421.0,2.5,50.0
66,20211103,LU,2,3,3,0.0,1.0,100.0
67,20211103,MA,3,5,4,1320.0,1.25,75.0
68,20211103,NL,5,16,7,1066.0,2.2857142857142856,42.857142857142854
69,20211103,NO,2,6,3,1609.0,2.0,33.33333333333333
70,20211103,PH,1,4,1,58.0,4.0,0.0
71,20211103,PT,1,3,2,29.0,1.5,50.0
72,20211103,RO,1,1,1,0.0,1.0,100.0
73,20211103,RU,2,6,3,540.0,2.0,33.33333333333333
74,20211103,SE,4,5,5,0.0,1.0,100.0
75,20211103,SG,2,2,2,0.0,1.0,100.0
76,20211103,TR,1,1,1,0.0,1.0,100.0
77,20211103,US,20,48,26,2059.0,1.8461538461538463,76.92307692307693
78,20211103,ZA,2,3,2,24.0,1.5,50.0
79,20211103,ZZ,1,1,1,0.0,1.0,100.0
80,20211104,AR,2,2,2,0.0,1.0,100.0
81,20211104,AT,2,6,5,47.0,1.2,80.0
82,20211104,AU,1,1,1,0.0,1.0,100.0
83,20211104,BE,1,1,1,0.0,1.0,100.0
84,20211104,BR,1,7,1,1568.0,7.0,0.0
85,20211104,CA,3,3,3,0.0,1.0,100.0
86,20211104,CH,8,21,14,1123.0,1.5,78.57142857142857
87,20211104,CI,1,1,1,0.0,1.0,100.0
88,20211104,CN,7,13,7,252.0,1.8571428571428572,85.71428571428571
89,20211104,CO,1,1,1,0.0,1.0,100.0
90,20211104,CR,1,1,1,0.0,1.0,100.0
91,20211104,CY,2,17,7,2913.0,2.4285714285714284,42.857142857142854
92,20211104,CZ,1,2,1,32.0,2.0,0.0
93,20211104,DE,12,18,13,344.0,1.3846153846153846,69.23076923076923
94,20211104,DJ,1,1,1,0.0,1.0,100.0
95,20211104,DK,1,1,1,0.0,1.0,100.0
96,20211104,DZ,1,1,1,0.0,1.0,100.0
97,20211104,ES,8,21,9,3040.0,2.3333333333333335,66.66666666666666
98,20211104,FR,4,7,4,79.0,1.75,50.0
99,20211104,GB,13,23,17,1550.0,1.3529411764705883,76.47058823529412
100,20211104,HK,1,9,1,653.0,9.0,0.0
101,20211104,IL,4,9,6,2229.0,1.5,50.0
102,20211104,IT,1,1,1,0.0,1.0,100.0
103,20211104,JP,2,14,3,3620.0,4.666666666666667,33.33333333333333
104,20211104,KR,2,5,3,686.0,1.6666666666666667,66.66666666666666
105,20211104,MA,2,2,2,0.0,1.0,100.0
106,20211104,MY,1,1,1,0.0,1.0,100.0
107,20211104,NC,1,1,1,0.0,1.0,100.0
108,20211104,NL,5,14,6,370.0,2.3333333333333335,33.33333333333333
109,20211104,NO,1,1,1,0.0,1.0,100.0
110,20211104,PH,1,1,1,0.0,1.0,100.0
111,20211104,PL,2,2,2,0.0,1.0,100.0
112,20211104,PT,2,3,3,0.0,1.0,100.0
113,20211104,RU,3,7,4,680.0,1.75,50.0
114,20211104,SE,1,1,1,0.0,1.0,100.0
115,20211104,TR,1,4,3,145.0,1.3333333333333333,66.66666666666666
116,20211104,UA,1,1,1,0.0,1.0,100.0
