,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20190601,(direct),7,7,0.0,1.0,100.0
1,20190601,baidu,2,4,0.0,1.0,100.0
2,20190601,dealii.org,1,1,0.0,1.0,100.0
3,20190601,duckduckgo,1,2,0.0,1.0,100.0
4,20190601,github.com,4,4,0.0,1.0,100.0
5,20190601,google,13,13,0.0,1.0,100.0
6,20190602,(direct),1,1,0.0,1.0,100.0
7,20190602,baidu,2,2,0.0,1.0,100.0
8,20190602,bing,1,1,0.0,1.0,100.0
9,20190602,duckduckgo,1,1,0.0,1.0,100.0
10,20190602,github.com,7,7,0.0,1.0,100.0
11,20190602,google,8,9,0.0,1.0,100.0
12,20190603,(direct),11,13,665.0,1.0833333333333333,91.66666666666666
13,20190603,amrex-codes.github.io,1,1,0.0,1.0,100.0
14,20190603,baidu,4,4,0.0,1.0,100.0
15,20190603,bing,1,1,0.0,1.0,100.0
16,20190603,ceed.exascaleproject.org,2,3,439.0,1.5,50.0
17,20190603,doku.lrz.de,1,1,0.0,1.0,100.0
18,20190603,duckduckgo,1,3,1307.0,3.0,0.0
19,20190603,ecosia.org,1,1,0.0,1.0,100.0
20,20190603,github.com,8,13,197.0,1.1818181818181819,81.81818181818183
21,20190603,google,49,64,533.0,1.1228070175438596,89.47368421052632
22,20190603,isugenomics.github.io,1,1,0.0,1.0,100.0
23,20190603,link.zhihu.com,1,1,0.0,1.0,100.0
24,20190603,yahoo,1,1,0.0,1.0,100.0
25,20190604,(direct),14,17,304.0,1.1333333333333333,86.66666666666667
26,20190604,baidu,3,3,0.0,1.0,100.0
27,20190604,bing,4,4,0.0,1.0,100.0
28,20190604,dealii.org,2,2,0.0,1.0,100.0
29,20190604,duckduckgo,3,3,0.0,1.0,100.0
30,20190604,github.com,17,21,0.0,1.05,95.0
31,20190604,google,34,41,1905.0,1.1388888888888888,88.88888888888889
32,20190604,link.zhihu.com,2,2,0.0,1.0,100.0
33,20190604,m.facebook.com,2,2,0.0,1.0,100.0
34,20190604,so.com,1,1,0.0,1.0,100.0
35,20190604,yahoo,1,1,0.0,1.0,100.0
36,20190605,(direct),16,19,106.0,1.0555555555555556,94.44444444444444
37,20190605,amrex-codes.github.io,1,1,0.0,1.0,100.0
38,20190605,bing,1,1,0.0,1.0,100.0
39,20190605,caiorss.github.io,1,1,0.0,1.0,100.0
40,20190605,duckduckgo,1,1,0.0,1.0,100.0
41,20190605,github.com,9,13,882.0,1.4444444444444444,66.66666666666666
42,20190605,google,38,43,1876.0,1.1025641025641026,92.3076923076923
43,20190605,h5z-zfp.readthedocs.io,1,1,0.0,1.0,100.0
44,20190605,sogou,1,1,0.0,1.0,100.0
45,20190605,support.bioconductor.org,1,1,0.0,1.0,100.0
46,20190606,(direct),13,14,0.0,1.0,100.0
47,20190606,baidu,1,1,0.0,1.0,100.0
48,20190606,duckduckgo,2,2,0.0,1.0,100.0
49,20190606,github.com,10,12,809.0,1.0909090909090908,90.9090909090909
50,20190606,google,58,72,1705.0,1.1612903225806452,87.09677419354838
51,20190606,link.zhihu.com,1,1,0.0,1.0,100.0
52,20190606,mail.google.com,1,3,541.0,3.0,0.0
53,20190606,xsdk.info,1,1,0.0,1.0,100.0
54,20190606,yahoo,1,1,0.0,1.0,100.0
55,20190607,(direct),7,7,0.0,1.0,100.0
56,20190607,baidu,1,2,529.0,2.0,0.0
57,20190607,bing,2,2,0.0,1.0,100.0
58,20190607,duckduckgo,1,1,0.0,1.0,100.0
59,20190607,ecosia.org,1,1,0.0,1.0,100.0
60,20190607,fffaraz.github.io,1,1,0.0,1.0,100.0
61,20190607,github.com,7,7,0.0,1.0,100.0
62,20190607,google,41,49,5825.0,1.1666666666666667,85.71428571428571
63,20190607,link.zhihu.com,1,1,0.0,1.0,100.0
64,20190607,numfocus.org,1,1,0.0,1.0,100.0
65,20190607,wikidris.prive.idris.fr,1,1,0.0,1.0,100.0
66,20190608,(direct),6,6,0.0,1.0,100.0
67,20190608,baidu,1,1,0.0,1.0,100.0
68,20190608,dealii.org,1,1,0.0,1.0,100.0
69,20190608,getpocket.com,1,2,831.0,2.0,0.0
70,20190608,github.com,4,5,0.0,1.0,100.0
71,20190608,google,14,17,1102.0,1.1333333333333333,93.33333333333333
72,20190609,(direct),6,6,0.0,1.0,100.0
73,20190609,baidu,2,2,0.0,1.0,100.0
74,20190609,docs.sympy.org,1,1,0.0,1.0,100.0
75,20190609,duckduckgo,1,1,0.0,1.0,100.0
76,20190609,github.com,3,3,0.0,1.0,100.0
77,20190609,google,14,16,6.0,1.0666666666666667,93.33333333333333
78,20190610,(direct),9,11,67.0,1.1,90.0
79,20190610,baidu,1,1,0.0,1.0,100.0
80,20190610,bing,1,1,0.0,1.0,100.0
81,20190610,cluster-in-the-cloud.readthedocs.io,1,1,0.0,1.0,100.0
82,20190610,duckduckgo,4,4,0.0,1.0,100.0
83,20190610,ecosia.org,1,1,0.0,1.0,100.0
84,20190610,github.com,9,11,155.0,1.2222222222222223,77.77777777777779
85,20190610,google,39,44,159.0,1.0731707317073171,95.1219512195122
86,20190610,t.co,1,1,0.0,1.0,100.0
87,20190610,yahoo,1,2,1390.0,2.0,0.0
88,20190611,(direct),17,20,2724.0,1.1111111111111112,88.88888888888889
89,20190611,bing,2,2,0.0,1.0,100.0
90,20190611,dealii.org,2,2,0.0,1.0,100.0
91,20190611,duckduckgo,2,2,0.0,1.0,100.0
92,20190611,github.com,10,15,354.0,1.25,83.33333333333334
93,20190611,google,34,44,1814.0,1.1891891891891893,86.48648648648648
94,20190611,lcrc.anl.gov,2,2,0.0,1.0,100.0
95,20190611,link.zhihu.com,1,1,0.0,1.0,100.0
96,20190611,mofem.eng.gla.ac.uk,1,1,0.0,1.0,100.0
97,20190611,so.com,1,1,0.0,1.0,100.0
98,20190611,xsdk.info,1,1,0.0,1.0,100.0
99,20190611,yahoo,1,2,508.0,2.0,0.0
100,20190612,(direct),9,11,0.0,1.0,100.0
101,20190612,baidu,1,1,0.0,1.0,100.0
102,20190612,bing,1,1,0.0,1.0,100.0
103,20190612,duckduckgo,2,7,602.0,1.4,60.0
104,20190612,github.com,8,12,54.0,1.0909090909090908,90.9090909090909
105,20190612,google,43,59,4285.0,1.18,88.0
106,20190612,insigneo.github.io,1,2,17.0,2.0,0.0
107,20190612,link.zhihu.com,1,1,0.0,1.0,100.0
108,20190612,srcc.stanford.edu,2,4,495.0,1.3333333333333333,66.66666666666666
109,20190613,(direct),10,13,1482.0,1.1818181818181819,81.81818181818183
110,20190613,127.0.0.1:4000,1,1,0.0,1.0,100.0
111,20190613,baidu,2,3,34.0,1.5,50.0
