,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20191201,(direct),10,13,90.0,1.3,90.0
1,20191201,baidu,2,2,0.0,1.0,100.0
2,20191201,baidu.com,1,1,0.0,1.0,100.0
3,20191201,bing,1,1,0.0,1.0,100.0
4,20191201,cn.bing.com,1,1,0.0,1.0,100.0
5,20191201,computing.llnl.gov,1,1,0.0,1.0,100.0
6,20191201,dealii.org,1,1,0.0,1.0,100.0
7,20191201,duckduckgo.com,1,4,184.0,4.0,0.0
8,20191201,facebook.com,1,1,0.0,1.0,100.0
9,20191201,github.com,2,4,4.0,2.0,50.0
10,20191201,google,21,37,637.0,1.6818181818181819,72.72727272727273
11,20191201,linuxfr.org,1,1,0.0,1.0,100.0
12,20191201,mx.search.yahoo.com,1,1,0.0,1.0,100.0
13,20191202,(direct),15,33,1362.0,1.9411764705882353,70.58823529411765
14,20191202,baidu,4,4,0.0,1.0,100.0
15,20191202,bing,2,3,21.0,1.5,50.0
16,20191202,cn.bing.com,1,2,69.0,2.0,0.0
17,20191202,com.google.android.googlequicksearchbox,1,5,58.0,5.0,0.0
18,20191202,dealii.org,2,5,234.0,2.5,50.0
19,20191202,docs.sympy.org,5,7,80.0,1.4,60.0
20,20191202,duckduckgo.com,2,3,18.0,1.5,50.0
21,20191202,en.m.wikipedia.org,1,1,0.0,1.0,100.0
22,20191202,github.com,6,13,72.0,2.1666666666666665,83.33333333333334
23,20191202,google,37,87,4031.0,2.289473684210526,57.89473684210527
24,20191202,link.zhihu.com,1,3,31.0,3.0,0.0
25,20191202,postk-web.r-ccs.riken.jp,2,6,98.0,3.0,50.0
26,20191202,zhihu.com,1,2,0.0,1.0,100.0
27,20191203,(direct),22,31,421.0,1.4090909090909092,81.81818181818183
28,20191203,baidu,2,2,0.0,1.0,100.0
29,20191203,baidu.com,1,1,0.0,1.0,100.0
30,20191203,duckduckgo.com,2,6,101.0,2.0,33.33333333333333
31,20191203,en.wikipedia.org,1,1,0.0,1.0,100.0
32,20191203,ghe-rss.roche.com,1,1,0.0,1.0,100.0
33,20191203,github.com,7,18,153.0,2.5714285714285716,57.14285714285714
34,20191203,google,34,71,2999.0,1.9189189189189189,62.16216216216216
35,20191203,re-ra.xyz,1,7,61.0,7.0,0.0
36,20191203,wiki.thingsandstuff.org,1,1,0.0,1.0,100.0
37,20191203,xsdk.info,1,1,0.0,1.0,100.0
38,20191204,(direct),11,17,184.0,1.5454545454545454,72.72727272727273
39,20191204,baidu,3,5,289.0,1.6666666666666667,66.66666666666666
40,20191204,bing,4,4,0.0,1.0,100.0
41,20191204,cn.bing.com,2,2,0.0,1.0,100.0
42,20191204,docs.sympy.org,1,1,0.0,1.0,100.0
43,20191204,github.com,9,14,35.0,1.5555555555555556,77.77777777777779
44,20191204,google,34,59,486.0,1.5526315789473684,65.78947368421053
45,20191204,numfocus.org,1,1,0.0,1.0,100.0
46,20191204,ross-org.github.io,1,1,0.0,1.0,100.0
47,20191204,t.co,2,3,4.0,1.5,50.0
48,20191205,(direct),20,26,45.0,1.2380952380952381,95.23809523809523
49,20191205,bing,2,2,0.0,1.0,100.0
50,20191205,daos-stack.github.io,1,1,0.0,1.0,100.0
51,20191205,duckduckgo.com,3,4,508.0,1.3333333333333333,66.66666666666666
52,20191205,github.com,4,8,569.0,2.0,50.0
53,20191205,google,43,62,1515.0,1.24,82.0
54,20191205,hpcwire.com,3,11,1164.0,2.75,25.0
55,20191206,(direct),19,27,583.0,1.4210526315789473,73.68421052631578
56,20191206,baidu,3,3,0.0,1.0,100.0
57,20191206,bing,2,2,0.0,1.0,100.0
58,20191206,dealii.org,1,1,0.0,1.0,100.0
59,20191206,duckduckgo.com,3,3,0.0,1.0,100.0
60,20191206,github.com,7,10,1037.0,1.4285714285714286,85.71428571428571
61,20191206,google,30,64,6285.0,2.064516129032258,70.96774193548387
62,20191206,hpcwire.com,7,25,397.0,3.5714285714285716,28.57142857142857
63,20191206,link.zhihu.com,1,1,0.0,1.0,100.0
64,20191206,yahoo,1,2,386.0,2.0,0.0
65,20191207,(direct),5,5,0.0,1.0,100.0
66,20191207,baidu.com,1,1,0.0,1.0,100.0
67,20191207,duckduckgo.com,1,1,0.0,1.0,100.0
68,20191207,github.com,5,9,60.0,1.8,40.0
69,20191207,google,17,23,137.0,1.3529411764705883,76.47058823529412
70,20191207,hpcwire.com,2,5,31.0,2.5,0.0
71,20191207,support.bioconductor.org,1,1,0.0,1.0,100.0
72,20191207,t.co,1,2,10.0,2.0,0.0
73,20191208,(direct),6,7,0.0,1.0,100.0
74,20191208,aur.archlinux.org,1,2,16.0,2.0,0.0
