,ga:date,ga:pagePath,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20180801,/,36,47,1284.0,1.0681818181818181,93.18181818181817
1,20180802,/,55,73,8992.0,1.140625,89.0625
2,20180803,/,40,45,90.0,1.0465116279069768,95.34883720930233
3,20180803,"/translate_c?depth=1&hl=es&prev=search&rurl=translate.google.com.ec&sl=en&sp=nmt4&u=https://spack.io/&xid=17259,15700021,15700124,15700149,15700168,15700186,15700190,15700201,15700208&usg=ALkJrhjl0WokIQr4BUrBv-9dT3o6C5-CKQ",1,1,0.0,1.0,100.0
4,20180804,/,13,18,2421.0,1.3846153846153846,69.23076923076923
5,20180804,"/translate_c?depth=1&hl=pt-BR&prev=search&rurl=translate.google.com.br&sl=en&sp=nmt4&u=https://spack.io/&xid=17259,15700022,15700124,15700149,15700168,15700186,15700190,15700201,15700208&usg=ALkJrhgtdW37o3AjV4_d1o_HSMZsyXXC3w",1,1,0.0,1.0,100.0
6,20180805,/,22,28,1641.0,1.12,92.0
7,20180805,"/translate_c?depth=1&hl=es&prev=search&rurl=translate.google.co.ve&sl=en&sp=nmt4&u=https://spack.io/&xid=17259,15700023,15700124,15700149,15700168,15700186,15700190,15700201,15700208&usg=ALkJrhgseqTriKBK_Ie2eytflVv1qCQ3Aw",1,1,0.0,1.0,100.0
8,20180806,/,54,65,3810.0,1.1607142857142858,87.5
9,20180806,"/translate_c?depth=1&hl=pt-BR&prev=search&rurl=translate.google.com.br&sl=en&sp=nmt4&u=https://spack.io/&xid=17259,15700023,15700124,15700149,15700168,15700186,15700191,15700201,15700208&usg=ALkJrhiC5LtdmFicQTUGsYHI809hjdThVg",1,1,0.0,1.0,100.0
10,20180807,/,55,78,3463.0,1.3448275862068966,89.65517241379311
11,20180808,/,42,57,2279.0,1.2391304347826086,89.13043478260869
12,20180809,/,38,49,366.0,1.065217391304348,93.47826086956522
13,20180810,/,29,30,0.0,1.0,100.0
14,20180811,/,13,17,1890.0,1.2142857142857142,78.57142857142857
15,20180812,/,15,16,32.0,1.0666666666666667,93.33333333333333
16,20180813,/,34,42,1118.0,1.1666666666666667,88.88888888888889
17,20180814,/,41,46,636.0,1.069767441860465,93.02325581395348
18,20180815,/,30,34,244.0,1.1333333333333333,86.66666666666667
19,20180816,/,28,31,0.0,1.0,100.0
20,20180817,/,35,48,3570.0,1.170731707317073,85.36585365853658
21,20180818,/,22,28,1794.0,1.1666666666666667,87.5
22,20180819,/,32,39,1267.0,1.1818181818181819,84.84848484848484
23,20180820,/,52,66,5711.0,1.1785714285714286,85.71428571428571
24,20180821,/,52,64,1476.0,1.1636363636363636,87.27272727272727
25,20180822,/,47,55,170.0,1.0377358490566038,96.22641509433963
26,20180823,/,52,59,1385.0,1.0727272727272728,96.36363636363636
27,20180824,/,34,41,901.0,1.1388888888888888,86.11111111111111
28,20180825,/,26,31,507.0,1.1481481481481481,88.88888888888889
29,20180825,"/translate_c?depth=1&hl=es&prev=search&rurl=translate.google.com&sl=en&sp=nmt4&u=https://spack.io/&xid=17259,15700023,15700124,15700149,15700186,15700190,15700201&usg=ALkJrhiaM9WeTVvwmazlQSCDfA5AtpoKUQ",1,1,0.0,1.0,100.0
30,20180826,/,23,25,193.0,1.0416666666666667,95.83333333333334
31,20180827,/,56,69,2943.0,1.1129032258064515,90.32258064516128
32,20180828,/,57,67,2771.0,1.1551724137931034,93.10344827586206
33,20180828,"/translate_c?depth=1&hl=ko&prev=search&rurl=translate.google.co.kr&sl=en&sp=nmt4&u=https://spack.io/&xid=25657,15700023,15700124,15700149,15700186,15700191,15700201&usg=ALkJrhgoMVKkal6JqmLQONqudLfFv2NkqQ",1,1,0.0,1.0,100.0
34,20180829,/,64,71,1295.0,1.0757575757575757,93.93939393939394
35,20180830,/,63,79,2373.0,1.0675675675675675,93.24324324324324
36,20180831,/,34,36,32.0,1.0285714285714285,97.14285714285714
