,ga:date,ga:pagePath,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20210501,/,43,50,845.0,1.1363636363636365,77.27272727272727
1,20210501,/about/,9,10,0.0,3.3333333333333335,100.0
2,20210501,/ecp-videos/,1,1,0.0,0.0,0.0
3,20210501,/greg-becker-profile/,1,1,0.0,0.0,0.0
4,20210501,/links/,2,2,0.0,2.0,100.0
5,20210501,/page2/,1,1,0.0,0.0,0.0
6,20210501,/spack-at-sc20/,1,1,0.0,0.0,0.0
7,20210502,/,38,54,3390.0,1.3846153846153846,74.35897435897436
8,20210502,/about/,6,10,2137.0,3.3333333333333335,33.33333333333333
9,20210502,/blog/,1,1,0.0,0.0,0.0
10,20210502,/events/,1,1,0.0,0.0,0.0
11,20210502,/greg-becker-profile/,1,1,0.0,0.0,0.0
12,20210502,/links/,2,2,0.0,0.0,0.0
13,20210502,/spack-at-sc20/,2,2,0.0,0.0,0.0
14,20210503,/,84,111,5779.0,1.2333333333333334,74.44444444444444
15,20210503,/about/,13,18,2658.0,2.25,75.0
16,20210503,/blog/,2,2,0.0,0.0,0.0
17,20210503,/ecp-videos/,3,5,0.0,5.0,100.0
18,20210503,/exascale-watch-el-capitan/,1,1,0.0,0.0,0.0
19,20210503,/page2/,2,4,4.0,4.0,0.0
20,20210503,/spack-at-sc20/,2,2,0.0,0.0,0.0
21,20210503,/spack-has-a-new-website/,3,3,0.0,3.0,100.0
22,20210504,/,80,114,6706.0,1.2666666666666666,73.33333333333333
23,20210504,/about/,11,17,0.0,3.4,80.0
24,20210504,/blog/,3,4,0.0,0.0,0.0
25,20210504,/ecp-videos/,1,1,0.0,0.0,0.0
26,20210504,/events/,1,2,0.0,0.0,0.0
27,20210504,/links/,1,1,0.0,0.0,0.0
28,20210504,/lrz-using-spack/,1,1,0.0,1.0,100.0
29,20210504,/page2/,2,2,0.0,0.0,0.0
30,20210504,/spack-at-sc20/,4,4,9.0,4.0,0.0
31,20210504,/spack-featured-next-platform/,2,3,0.0,3.0,100.0
32,20210504,/spack-user-survey-2020/,2,2,0.0,0.0,0.0
33,20210505,/,101,114,5562.0,1.0961538461538463,77.88461538461539
34,20210505,/about/,11,14,5.0,7.0,50.0
35,20210505,/blog/,2,2,0.0,0.0,0.0
36,20210505,/bssw-working-remotely/,1,1,0.0,0.0,0.0
37,20210505,/ecp-videos/,6,6,0.0,0.0,0.0
38,20210505,/page2/,3,3,0.0,0.0,0.0
39,20210505,/spack-at-sc20/,2,2,0.0,2.0,100.0
40,20210505,/spack-user-survey-2020/,2,2,0.0,2.0,100.0
41,20210505,/spack-wins-rd-100-award/,1,3,73.0,3.0,0.0
42,20210506,/,125,155,7811.0,1.1567164179104477,80.59701492537313
43,20210506,/about/,7,8,36.0,4.0,50.0
44,20210506,/bssw-working-remotely/,1,2,0.0,0.0,0.0
45,20210506,/ecp-videos/,1,1,0.0,0.0,0.0
46,20210506,/events/,2,3,37.0,1.5,50.0
47,20210506,/exascale-watch-el-capitan/,1,1,0.0,0.0,0.0
48,20210506,/links/,1,1,0.0,0.0,0.0
