,ga:date,ga:source,ga:users,ga:pageViews,ga:sessionDuration,ga:pageviewsPerSession,ga:bounceRate
0,20171101,(direct),17,45,4182.0,2.0454545454545454,68.18181818181817
1,20171101,d363-1.firstguo.com,1,1,0.0,1.0,100.0
2,20171101,google,48,97,7250.0,1.830188679245283,71.69811320754717
3,20171101,hpc.uni.lu,2,2,0.0,1.0,100.0
4,20171102,(direct),13,24,1104.0,1.8461538461538463,61.53846153846154
5,20171102,google,64,138,6578.0,1.8904109589041096,67.12328767123287
6,20171102,hpcdocs.pfizer.com,1,1,0.0,1.0,100.0
7,20171102,wiki.fysik.dtu.dk,1,8,2715.0,4.0,0.0
8,20171103,(direct),15,46,7740.0,2.3,50.0
9,20171103,bing,1,4,19.0,4.0,0.0
10,20171103,duckduckgo.com,1,3,5.0,3.0,0.0
11,20171103,github.com,1,1,0.0,1.0,100.0
12,20171103,google,53,155,16986.0,2.540983606557377,67.21311475409836
13,20171104,(direct),3,3,0.0,1.0,100.0
14,20171104,cism.ucl.ac.be,1,1,0.0,1.0,100.0
15,20171104,google,13,24,1296.0,1.411764705882353,70.58823529411765
16,20171104,yahoo,1,1,0.0,1.0,100.0
17,20171105,(direct),4,6,78.0,1.5,50.0
18,20171105,google,26,63,3494.0,1.96875,65.625
19,20171106,(direct),16,39,4678.0,1.6956521739130435,60.86956521739131
20,20171106,bing,1,3,884.0,1.5,50.0
21,20171106,duckduckgo.com,1,1,0.0,1.0,100.0
22,20171106,google,69,203,17541.0,2.3333333333333335,57.47126436781609
23,20171107,(direct),16,33,3378.0,1.8333333333333333,66.66666666666666
24,20171107,bing,1,1,0.0,1.0,100.0
25,20171107,duckduckgo.com,1,1,0.0,1.0,100.0
26,20171107,google,66,160,15470.0,2.0779220779220777,57.14285714285714
27,20171107,mail.google.com,1,16,5046.0,5.333333333333333,0.0
28,20171108,(direct),15,38,2348.0,2.111111111111111,38.88888888888889
29,20171108,easybuilders.github.io,1,1,0.0,1.0,100.0
30,20171108,google,62,248,21166.0,2.9523809523809526,57.14285714285714
31,20171108,n0where.net,1,1,0.0,1.0,100.0
32,20171109,(direct),27,77,11455.0,2.6551724137931036,58.620689655172406
33,20171109,bing,2,4,157.0,2.0,50.0
34,20171109,github.com,1,1,0.0,1.0,100.0
35,20171109,google,62,162,10271.0,2.076923076923077,57.692307692307686
36,20171109,sourceforge.net,1,1,0.0,1.0,100.0
37,20171109,yahoo,2,2,0.0,1.0,100.0
38,20171110,(direct),13,48,8110.0,2.823529411764706,41.17647058823529
39,20171110,baidu,1,1,0.0,1.0,100.0
40,20171110,bing,1,1,0.0,1.0,100.0
41,20171110,easybuild.readthedocs.org,1,1,0.0,1.0,100.0
42,20171110,google,65,230,21334.0,2.8048780487804876,58.536585365853654
43,20171110,youtube.com,1,1,0.0,1.0,100.0
44,20171111,(direct),13,40,3499.0,2.857142857142857,64.28571428571429
45,20171111,google,29,44,4090.0,1.3333333333333333,81.81818181818183
46,20171112,(direct),7,29,5295.0,2.9,50.0
47,20171112,google,28,45,3227.0,1.40625,75.0
48,20171112,juliusbaxter.net,1,1,0.0,1.0,100.0
49,20171113,(direct),24,73,3345.0,2.7037037037037037,59.25925925925925
50,20171113,google,69,185,22020.0,2.032967032967033,58.24175824175825
51,20171113,ulhpc-tutorials.readthedocs.io,1,1,0.0,1.0,100.0
52,20171114,(direct),19,54,7120.0,2.7,50.0
53,20171114,duckduckgo.com,1,3,90.0,3.0,0.0
54,20171114,google,73,242,18892.0,2.372549019607843,62.745098039215684
55,20171115,(direct),16,48,4457.0,2.823529411764706,52.94117647058824
56,20171115,duckduckgo.com,2,5,917.0,1.6666666666666667,33.33333333333333
57,20171115,google,67,191,20999.0,2.1222222222222222,62.22222222222222
58,20171116,(direct),24,44,4719.0,1.8333333333333333,45.83333333333333
59,20171116,duckduckgo.com,1,10,2937.0,5.0,50.0
60,20171116,easybuilders.github.io,2,3,5.0,1.5,50.0
61,20171116,google,72,167,16327.0,1.9195402298850575,60.91954022988506
62,20171116,hpcugent.github.io,1,4,131.0,4.0,0.0
63,20171117,(direct),18,38,2434.0,1.9,65.0
64,20171117,bing,1,4,31.0,1.3333333333333333,66.66666666666666
65,20171117,com.google.android.googlequicksearchbox,1,1,0.0,1.0,100.0
66,20171117,duckduckgo.com,1,5,207.0,5.0,0.0
67,20171117,google,64,196,16628.0,2.5128205128205128,60.256410256410255
68,20171117,l.facebook.com,1,1,0.0,1.0,100.0
69,20171117,users.aalto.fi,1,1,0.0,1.0,100.0
70,20171118,(direct),8,24,2344.0,2.1818181818181817,63.63636363636363
71,20171118,github.com,1,3,66.0,3.0,0.0
72,20171118,google,13,37,2820.0,2.466666666666667,53.333333333333336
73,20171118,hpc.uni.lu,1,5,100.0,5.0,0.0
74,20171119,(direct),4,7,12.0,1.1666666666666667,83.33333333333334
75,20171119,bing,1,1,0.0,1.0,100.0
76,20171119,google,13,29,3336.0,1.9333333333333333,73.33333333333333
77,20171120,(direct),25,70,8569.0,2.3333333333333335,56.666666666666664
78,20171120,cn.bing.com,1,1,0.0,1.0,100.0
79,20171120,duckduckgo.com,1,12,3799.0,4.0,33.33333333333333
80,20171120,google,59,153,12489.0,1.9367088607594938,70.88607594936708
81,20171121,(direct),14,51,3397.0,3.1875,37.5
82,20171121,com.google.android.googlequicksearchbox,1,1,0.0,1.0,100.0
83,20171121,github.com,1,1,0.0,1.0,100.0
84,20171121,google,70,144,9682.0,1.6,66.66666666666666
85,20171122,(direct),15,45,2713.0,2.8125,56.25
86,20171122,baidu,2,2,0.0,1.0,100.0
87,20171122,complaint56356747.copyrightinstitute.org,1,2,539.0,2.0,0.0
88,20171122,github.niaid.nih.gov,1,1,0.0,1.0,100.0
89,20171122,google,78,210,18671.0,2.121212121212121,58.58585858585859
90,20171123,(direct),13,26,2098.0,2.0,53.84615384615385
91,20171123,github.com,1,1,0.0,1.0,100.0
92,20171123,google,42,116,12394.0,2.188679245283019,62.264150943396224
93,20171123,hpcugent.github.io,1,5,23.0,2.5,0.0
